layername,priority
input,0
0,1000.0
1,1000.0
2,1000.0
3,999.9923706054688
4,1000.0
5,1000.0
6,1000.0
7,1000.0
8,1000.0
9,1000.0
10,1000.0
11,1000.0
12,1000.0
13,1000.0
14,1000.0
15,1000.0
16,1000.0
17,1000.0
18,998.046875
19,1000.0
20,1000.0
21,1000.0
22,1000.0
23,1000.0
24,1000.0
25,1000.0
26,1000.0
27,1000.0
28,1000.0
29,1000.0
30,1000.0
31,1000.0
32,1000.0
33,1000.0
34,1000.0
35,1000.0
36,1000.0
37,1000.0
38,1000.0
39,1000.0
40,1000.0
41,1000.0
42,1000.0
43,1000.0
44,1000.0
45,999.9999403953552
46,1000.0
47,1000.0
48,1000.0
49,1000.0
50,1000.0
51,1000.0
52,1000.0
53,1000.0
54,1000.0
55,1000.0
56,1000.0
57,1000.0
58,1000.0
59,1000.0
60,1000.0
61,1000.0
62,1000.0
63,1000.0
64,1000.0
65,1000.0
66,1000.0
67,1000.0
68,1000.0
69,1000.0
70,1000.0
71,1000.0
72,999.9990463256836
73,1000.0
74,1000.0
75,1000.0
76,1000.0
77,1000.0
78,1000.0
79,1000.0
80,1000.0
81,1000.0
82,1000.0
83,1000.0
84,1000.0
85,1000.0
86,1000.0
87,999.9847412109375
88,1000.0
89,1000.0
90,1000.0
91,1000.0
92,1000.0
93,1000.0
94,1000.0
95,1000.0
96,1000.0
97,1000.0
98,1000.0
99,1000.0
100,1000.0
101,999.8779296875
102,1000.0
103,1000.0
104,1000.0
105,1000.0
106,999.93896484375
107,1000.0
108,1000.0
109,999.969482421875
110,999.969482421875
111,1000.0
112,1000.0
113,1000.0
114,1000.0
115,1000.0
116,1000.0
117,1000.0
118,999.755859375
119,999.755859375
120,1000.0
121,1000.0
122,999.51171875
123,1000.0
124,1000.0
125,1000.0
126,1000.0
127,1000.0
128,1000.0
129,1000.0
130,1000.0
131,1000.0
132,1000.0
133,1000.0
134,999.0234375
135,999.0234375
136,1000.0
137,1000.0
138,998.046875
139,1000.0
140,1000.0
141,1000.0
142,1000.0
143,1000.0
144,1000.0
145,1000.0
146,1000.0
147,1000.0
148,1000.0
149,1000.0
150,1000.0
151,1000.0
152,1000.0
153,1000.0
154,992.1875
155,1000.0
156,1000.0
157,1000.0
158,1000.0
159,1000.0
160,1000.0
161,1000.0
162,1000.0
163,1000.0
164,1000.0
165,1000.0
166,1000.0
167,968.75
168,1000.0
169,1000.0
170,1000.0
171,1000.0
172,1000.0
173,1000.0
174,1000.0
175,1000.0
176,1000.0
177,750.0
178,750.0
179,750.0
180,718.75
181,750.0
182,750.0
183,750.0
184,750.0
185,750.0
186,750.0
187,750.0
188,750.0
189,750.0
190,500.0
191,500.0
192,500.0
193,468.75
194,500.0
195,500.0
196,500.0
197,500.0
198,500.0
199,500.0
200,500.0
201,500.0
202,500.0
203,687.5
204,937.5
205,687.5
206,437.5
207,625.0
208,875.0
209,625.0
210,375.0
211,750.0
212,750.0
213,750.0
214,750.0
215,750.0
216,750.0
output_,1000.0
217,1000.0
218,1000.0
219,1000.0
220,1000.0
221,1000.0
222,1000.0
223,750.0
224,750.0
225,750.0
226,750.0
227,750.0
228,750.0
229,500.0
230,500.0
231,500.0
232,500.0
233,500.0
234,500.0
output,1000
