bandwidth,optimizer,energy,device,payload
250.0,-3.8349705815813535e-14,0,2,{}
450.0,-3.8349705815813535e-14,0,2,{}
650.0,-3.8349705815813535e-14,0,2,{}
850.0,-3.8349705815813535e-14,0,2,{}
1050.0,-3.8349705815813535e-14,0,2,{}
1250.0,-3.8349705815813535e-14,0,2,{}
1450.0,-3.8349705815813535e-14,0,2,{}
1650.0,-3.8349705815813535e-14,0,2,{}
1850.0,-3.8349705815813535e-14,0,2,{}
2050.0,0.9608900837544253,0,2,{}
2250.0,2.187864103893375,0,2,{}
2450.0,3.2145158350300305,0,2,{}
2650.0,3.4099745939429003,0,2,{}
2850.0,3.410486840556124,0,2,{}
3050.0,3.410931907285651,0,2,{}
3250.0,3.411322196571536,0,2,{}
3450.0,3.4116672349257304,0,2,{}
3650.0,3.411974460857553,0,2,{}
3850.0,3.4666965764488,0,2,{}
4050.0,3.7226113726467265,0,2,{}
4250.0,3.727748825141182,0,2,{}
4450.0,3.73242448415298,0,2,{}
