bandwidth,optimizer,energy,device,payload
250.0,1.6527798148665317e-14,0,2,{}
450.0,1.6527798148665317e-14,0,2,{}
650.0,1.6527798148665317e-14,0,2,{}
850.0,1.6527798148665317e-14,0,2,{}
1050.0,2.1261796308941427,0,2,{}
1250.0,3.159368541636677,0,2,{}
1450.0,3.160288450446084,0,2,{}
1650.0,3.1609853510592907,0,2,{}
1850.0,3.302538839991908,0,2,{}
2050.0,3.8089085181968656,0,2,{}
2250.0,3.817170958916385,0,2,{}
2450.0,3.8240844297225047,0,2,{}
2650.0,3.8299543577654602,0,2,{}
2850.0,3.835000436258514,0,2,{}
3050.0,3.8393847339655958,0,2,{}
3250.0,3.8432294258010353,0,2,{}
3450.0,3.846628356264248,0,2,{}
3650.0,3.8496548011972442,0,2,{}
3850.0,3.8523668102930446,0,2,{}
4050.0,3.8548109666386496,0,2,{}
4250.0,3.857025084739952,0,2,{}
4450.0,3.859040180989463,0,2,{}
