bandwidth,optimizer,energy,device,payload
250.0,1.2294447101354364,0,2,{}
450.0,4.353853188518943,0,2,{}
650.0,4.821666581643759,0,2,{}
850.0,5.069332495651018,0,2,{}
1050.0,5.222649490036469,0,2,{}
1250.0,5.326905046218569,0,2,{}
1450.0,5.402400448971131,0,2,{}
1650.0,5.55914898801832,0,2,{}
1850.0,5.797296934523009,0,2,{}
2050.0,5.988976989026782,0,2,{}
2250.0,6.146580589396549,0,2,{}
2450.0,6.278452989705946,0,2,{}
2650.0,6.3904201220441115,0,2,{}
2850.0,6.486672569141838,0,2,{}
3050.0,6.570301744489038,0,2,{}
3250.0,6.601101697073515,0,2,{}
3450.0,6.617310094101512,0,2,{}
3650.0,6.631742228441512,0,2,{}
3850.0,6.644674920252679,0,2,{}
4050.0,6.656330309168909,0,2,{}
4250.0,6.666888720304792,0,2,{}
4450.0,6.676498060776774,0,2,{}
