bandwidth,optimizer,energy,device,payload
250.0,0.687325651910219,0,2,{}
450.0,2.2078700896165646,0,2,{}
650.0,2.7926948733497796,0,2,{}
850.0,3.102307994149717,0,2,{}
1050.0,3.293973259406826,0,2,{}
1250.0,3.4243056397816614,0,2,{}
1450.0,3.518684260053082,0,2,{}
1650.0,3.5901832148041697,0,2,{}
1850.0,3.6462229360955467,0,2,{}
2050.0,3.6913280776227735,0,2,{}
2250.0,3.728414527322927,0,2,{}
2450.0,3.7594460464597925,0,2,{}
2650.0,3.7857935627080677,0,2,{}
2850.0,3.808443181939042,0,2,{}
3050.0,3.828122359303664,0,2,{}
3250.0,3.8453794840695603,0,2,{}
3450.0,3.8606357827756566,0,2,{}
3650.0,3.87422015833587,0,2,{}
3850.0,3.8863931702015138,0,2,{}
4050.0,3.8973639092903043,0,2,{}
4250.0,3.9073021082295614,0,2,{}
4450.0,3.916346985915852,0,2,{}
