bandwidth,optimizer,energy,device,payload
250.0,1.5540036888634379,0,2,{}
450.0,2.1918915672016226,0,2,{}
650.0,2.437233058870152,0,2,{}
850.0,2.5671197309299614,0,2,{}
1050.0,2.6475257660145934,0,2,{}
1250.0,2.7022018698721535,0,2,{}
1450.0,2.7417949105966026,0,2,{}
1650.0,2.771789638418135,0,2,{}
1850.0,2.795299019683671,0,2,{}
2050.0,2.8142212046047095,0,2,{}
2250.0,2.829779445539793,0,2,{}
2450.0,2.8427975655058786,0,2,{}
2650.0,2.8538506862318047,0,2,{}
2850.0,2.863352491768114,0,2,{}
3050.0,2.871608158873441,0,2,{}
3250.0,2.878847743873502,0,2,{}
3450.0,2.8852479566996285,0,2,{}
3650.0,2.8909467763393386,0,2,{}
3850.0,2.8960535108216763,0,2,{}
4050.0,2.9006558764662516,0,2,{}
4250.0,2.904825078285455,0,2,{}
4450.0,2.9086195203905736,0,2,{}
