bandwidth,optimizer,energy,device,payload
250.0,8.562725450901834,0,2,{}
450.0,9.574785935507396,0,2,{}
650.0,9.964039968048006,0,2,{}
850.0,10.170115632334205,0,2,{}
1050.0,10.29768628165424,0,2,{}
1250.0,10.384434323191861,0,2,{}
1450.0,10.447251870512204,0,2,{}
1650.0,10.494840921512468,0,2,{}
1850.0,10.532140447972132,0,2,{}
2050.0,10.562162018049424,0,2,{}
2250.0,10.586846420112968,0,2,{}
2450.0,10.607500715717164,0,2,{}
2650.0,10.625037381796199,0,2,{}
2850.0,10.640112761408002,0,2,{}
3050.0,10.65321104205432,0,2,{}
3250.0,10.664697226621096,0,2,{}
3450.0,10.67485167964389,0,2,{}
3650.0,10.68389331589707,0,2,{}
3850.0,10.691995561370698,0,2,{}
4050.0,10.699297585069143,0,2,{}
4250.0,10.70591235947833,0,2,{}
4450.0,10.71193254742377,0,2,{}
