bandwidth,optimizer,energy,device,payload
900,1.4210854715202004e-14,0.0,2,{}
1000,1.0449411067108514,71.2785900502154,2,{'layer_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}}
1100,1.0449411067108514,71.8769659090931,2,{'layer_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}}
1200,1.0449411067108514,67.00041395516791,2,{'layer_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}}
1300,2.9940902060294405,2036.3530868714497,2,{'add__1': {'count': 1| 'size': 10.24}| 'inner_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f0': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_3': {'count': 1| 'size': 0.64}| 'extra': {'count': 1| 'size': 0.1731}| 'rpn_merger': {'count': 2| 'size': 0.02}}
1400,4.7616149212227015,2185.1457866289234,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}}
1500,6.293469674390153,2092.028238977833,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'layer_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f0': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'rpn_merger': {'count': 2| 'size': 0.02}}
1600,7.633842583411678,1922.3861679382348,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer_3': {'count': 2| 'size': 0.64}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}}
1700,8.816524561960108,1809.3046286477502,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer_3': {'count': 2| 'size': 0.64}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}}
1800,9.076576001696395,1840.2272087034066,2,{'inner_3': {'count': 1| 'size': 0.64}| 'layer_3': {'count': 2| 'size': 0.64}| 'add__2': {'count': 1| 'size': 2.56}| 'add__1': {'count': 1| 'size': 10.24}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}}
