bandwidth,optimizer,energy,device,payload
375,2.8958321520924244,0,2,{'add__2': {'count': 1| 'size': 2.56}| 'add__1': {'count': 1| 'size': 10.24}| 'rpn_parallel_f1': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f2': {'count': 1| 'size': 0.027999999999999997}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
500,8.798917994197666,0,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'inner_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f1': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f2': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f3': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'layer_3': {'count': 1| 'size': 0.64}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
625,9.3755083531195,0,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'inner_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f1': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f2': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f3': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'layer_3': {'count': 1| 'size': 0.64}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
750,9.3755083531195,0,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'inner_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f1': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f2': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f3': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'layer_3': {'count': 1| 'size': 0.64}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
875,9.3755083531195,0,2,{'inner_3': {'count': 1| 'size': 0.64}| 'add__2': {'count': 1| 'size': 2.56}| 'add__1': {'count': 1| 'size': 10.24}| 'rpn_parallel_f1': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f2': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f3': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'layer_3': {'count': 1| 'size': 0.64}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
1000,9.3755083531195,0,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'inner_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f1': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f2': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f3': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'layer_3': {'count': 1| 'size': 0.64}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
1250,9.3755083531195,0,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'inner_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f1': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f2': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f3': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'layer_3': {'count': 1| 'size': 0.64}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
1500,9.3755083531195,0,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'inner_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f1': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f2': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f3': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'layer_3': {'count': 1| 'size': 0.64}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
1750,9.3755083531195,0,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'inner_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f1': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f2': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f3': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'layer_3': {'count': 1| 'size': 0.64}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
2000,9.3755083531195,0,2,{'inner_3': {'count': 1| 'size': 0.64}| 'add__2': {'count': 1| 'size': 2.56}| 'add__1': {'count': 1| 'size': 10.24}| 'rpn_parallel_f1': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f2': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f3': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'layer_3': {'count': 1| 'size': 0.64}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
3000,9.3755083531195,0,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'inner_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f1': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f2': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f3': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'layer_3': {'count': 1| 'size': 0.64}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
3500,9.3755083531195,0,2,{'add__1': {'count': 1| 'size': 10.24}| 'add__2': {'count': 1| 'size': 2.56}| 'inner_3': {'count': 1| 'size': 0.64}| 'rpn_parallel_f1': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f2': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f3': {'count': 1| 'size': 0.027999999999999997}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'layer_3': {'count': 1| 'size': 0.64}| 'extra': {'count': 1| 'size': 0.1731}| 'postprocess_detections': {'count': 1| 'size': 0.0}}
