bandwidth,optimizer,energy,device,payload
900,2.540674072371843,0,2,{'85': {'count': 1| 'size': 1.1469}| '119': {'count': 1| 'size': 0.5734}| '230': {'count': 1| 'size': 0.3584}| '189': {'count': 1| 'size': 0.5734}| '204': {'count': 1| 'size': 0.0008}| '208': {'count': 1| 'size': 0.0005}| '203': {'count': 1| 'size': 0.0005}| '207': {'count': 1| 'size': 0.0005}| '228': {'count': 1| 'size': 0.5712}| '234': {'count': 1| 'size': 0.1428}}
1000,2.5608064095320913,0,2,{'85': {'count': 1| 'size': 1.1469}| '119': {'count': 1| 'size': 0.5734}| '230': {'count': 1| 'size': 0.3584}| '189': {'count': 1| 'size': 0.5734}| '204': {'count': 1| 'size': 0.0008}| '208': {'count': 1| 'size': 0.0005}| '203': {'count': 1| 'size': 0.0005}| '207': {'count': 1| 'size': 0.0005}| '228': {'count': 1| 'size': 0.5712}| '234': {'count': 1| 'size': 0.1428}}
1100,2.711263138588336,0,2,{'85': {'count': 1| 'size': 1.1469}| '119': {'count': 1| 'size': 0.5734}| '230': {'count': 1| 'size': 0.3584}| '189': {'count': 1| 'size': 0.5734}| '204': {'count': 1| 'size': 0.0008}| '208': {'count': 1| 'size': 0.0005}| '203': {'count': 1| 'size': 0.0005}| '207': {'count': 1| 'size': 0.0005}| '228': {'count': 1| 'size': 0.5712}| '234': {'count': 1| 'size': 0.1428}}
1200,2.8366437461352234,0,2,{'85': {'count': 1| 'size': 1.1469}| '119': {'count': 1| 'size': 0.5734}| '230': {'count': 1| 'size': 0.3584}| '189': {'count': 1| 'size': 0.5734}| '204': {'count': 1| 'size': 0.0008}| '208': {'count': 1| 'size': 0.0005}| '203': {'count': 1| 'size': 0.0005}| '207': {'count': 1| 'size': 0.0005}| '228': {'count': 1| 'size': 0.5712}| '234': {'count': 1| 'size': 0.1428}}
1300,2.942735029444137,0,2,{'85': {'count': 1| 'size': 1.1469}| '119': {'count': 1| 'size': 0.5734}| '230': {'count': 1| 'size': 0.3584}| '189': {'count': 1| 'size': 0.5734}| '204': {'count': 1| 'size': 0.0008}| '208': {'count': 1| 'size': 0.0005}| '203': {'count': 1| 'size': 0.0005}| '207': {'count': 1| 'size': 0.0005}| '228': {'count': 1| 'size': 0.5712}| '234': {'count': 1| 'size': 0.1428}}
1400,3.0336704151374647,0,2,{'85': {'count': 1| 'size': 1.1469}| '119': {'count': 1| 'size': 0.5734}| '230': {'count': 1| 'size': 0.3584}| '189': {'count': 1| 'size': 0.5734}| '204': {'count': 1| 'size': 0.0008}| '208': {'count': 1| 'size': 0.0005}| '203': {'count': 1| 'size': 0.0005}| '207': {'count': 1| 'size': 0.0005}| '228': {'count': 1| 'size': 0.5712}| '234': {'count': 1| 'size': 0.1428}}
1500,3.1124810827383698,0,2,{'85': {'count': 1| 'size': 1.1469}| '119': {'count': 1| 'size': 0.5734}| '230': {'count': 1| 'size': 0.3584}| '189': {'count': 1| 'size': 0.5734}| '204': {'count': 1| 'size': 0.0008}| '208': {'count': 1| 'size': 0.0005}| '203': {'count': 1| 'size': 0.0005}| '207': {'count': 1| 'size': 0.0005}| '228': {'count': 1| 'size': 0.5712}| '234': {'count': 1| 'size': 0.1428}}
1600,3.8417567582355474,0,2,{'163': {'count': 1| 'size': 4.5875}| '176': {'count': 1| 'size': 1.7203}| '208': {'count': 1| 'size': 0.0005}| '207': {'count': 1| 'size': 0.0005}| '206': {'count': 1| 'size': 0.0013}| '209': {'count': 1| 'size': 0.0005}| '228': {'count': 1| 'size': 0.5712}| '234': {'count': 1| 'size': 0.1428}}
1700,3.8417567582355474,0,2,{'163': {'count': 1| 'size': 4.5875}| '176': {'count': 1| 'size': 1.7203}| '208': {'count': 1| 'size': 0.0005}| '207': {'count': 1| 'size': 0.0005}| '206': {'count': 1| 'size': 0.0013}| '209': {'count': 1| 'size': 0.0005}| '228': {'count': 1| 'size': 0.5712}| '234': {'count': 1| 'size': 0.1428}}
1800,3.8417567582355474,0,2,{'163': {'count': 1| 'size': 4.5875}| '176': {'count': 1| 'size': 1.7203}| '208': {'count': 1| 'size': 0.0005}| '207': {'count': 1| 'size': 0.0005}| '206': {'count': 1| 'size': 0.0013}| '209': {'count': 1| 'size': 0.0005}| '228': {'count': 1| 'size': 0.5712}| '234': {'count': 1| 'size': 0.1428}}
