bandwidth,optimizer,energy,device,payload
375,8.408125699889652,9084.381730936615,4,30.5275
475,9.565310125321702,7243.777493194762,4,31.4243
575,10.416527151929742,6225.430746534374,4,31.423800000000004
675,10.608187051659115,5303.22909103263,4,31.4243
775,10.641941146706856,4618.941466383259,4,31.4243
875,10.680976460403071,4145.9217088817095,4,30.8867
975,10.713192671789216,3380.255530944246,4,30.8867
1075,10.73941516942908,3400.7053491697875,4,30.8867
1175,10.76897691111904,3165.437219771723,4,31.4243
1275,10.800441671451225,2966.4545378673943,4,31.4243
1375,10.86718274798568,3536.343508986799,5,40.7791
1475,10.909424474507958,0.0,5,40.7791
