bandwidth,optimizer,energy,device,payload
250,0.18591943270463673,0,2,{'d3_conv1': {'count': 1| 'size': 11.2812}| 'd3_conv2': {'count': 1| 'size': 5.6408}| 'd4_conv1': {'count': 1| 'size': 5.6408}| 'd4_conv2': {'count': 1| 'size': 2.8204}| 'd5_conv1': {'count': 1| 'size': 2.8204}| 'd5_conv2': {'count': 1| 'size': 1.41}| 'd4_conv5': {'count': 1| 'size': 1.41}| 'nk_conv8': {'count': 1| 'size': 1.41}| 'd3_conv5': {'count': 1| 'size': 2.8204}| 'nk_conv15': {'count': 1| 'size': 2.8204}| 'decode1': {'count': 1| 'size': 0.0}| 'decode2': {'count': 1| 'size': 0.0}| 'decode3': {'count': 1| 'size': 0.0}| 'non_max_suppression': {'count': 1| 'size': 0.0}}
325,0.18591943270463673,0,2,{'d3_conv1': {'count': 1| 'size': 11.2812}| 'd3_conv2': {'count': 1| 'size': 5.6408}| 'd4_conv1': {'count': 1| 'size': 5.6408}| 'd4_conv2': {'count': 1| 'size': 2.8204}| 'd5_conv1': {'count': 1| 'size': 2.8204}| 'd5_conv2': {'count': 1| 'size': 1.41}| 'd4_conv5': {'count': 1| 'size': 1.41}| 'nk_conv8': {'count': 1| 'size': 1.41}| 'd3_conv5': {'count': 1| 'size': 2.8204}| 'nk_conv15': {'count': 1| 'size': 2.8204}| 'decode1': {'count': 1| 'size': 0.0}| 'decode2': {'count': 1| 'size': 0.0}| 'decode3': {'count': 1| 'size': 0.0}| 'non_max_suppression': {'count': 1| 'size': 0.0}}
400,0.18591943270463673,0,2,{'d3_conv1': {'count': 1| 'size': 11.2812}| 'd3_conv2': {'count': 1| 'size': 5.6408}| 'd4_conv1': {'count': 1| 'size': 5.6408}| 'd4_conv2': {'count': 1| 'size': 2.8204}| 'd5_conv1': {'count': 1| 'size': 2.8204}| 'd5_conv2': {'count': 1| 'size': 1.41}| 'd4_conv5': {'count': 1| 'size': 1.41}| 'nk_conv8': {'count': 1| 'size': 1.41}| 'd3_conv5': {'count': 1| 'size': 2.8204}| 'nk_conv15': {'count': 1| 'size': 2.8204}| 'decode1': {'count': 1| 'size': 0.0}| 'decode2': {'count': 1| 'size': 0.0}| 'decode3': {'count': 1| 'size': 0.0}| 'non_max_suppression': {'count': 1| 'size': 0.0}}
475,0.21472884514876966,0,2,{'d2_conv1': {'count': 1| 'size': 22.5624}| 'd2_conv2': {'count': 1| 'size': 11.2812}| 'd3_conv1': {'count': 1| 'size': 11.2812}| 'd3_conv2': {'count': 1| 'size': 5.6408}| 'd4_conv1': {'count': 1| 'size': 5.6408}| 'd4_conv2': {'count': 1| 'size': 2.8204}| 'd5_conv1': {'count': 1| 'size': 2.8204}| 'd5_conv2': {'count': 1| 'size': 1.41}| 'd4_conv5': {'count': 1| 'size': 1.41}| 'nk_conv8': {'count': 1| 'size': 1.41}| 'd3_conv5': {'count': 1| 'size': 2.8204}| 'nk_conv15': {'count': 1| 'size': 2.8204}| 'decode1': {'count': 1| 'size': 0.0}| 'decode2': {'count': 1| 'size': 0.0}| 'decode3': {'count': 1| 'size': 0.0}| 'non_max_suppression': {'count': 1| 'size': 0.0}}
550,0.21472884514876966,0,2,{'d2_conv1': {'count': 1| 'size': 22.5624}| 'd2_conv2': {'count': 1| 'size': 11.2812}| 'd3_conv1': {'count': 1| 'size': 11.2812}| 'd3_conv2': {'count': 1| 'size': 5.6408}| 'd4_conv1': {'count': 1| 'size': 5.6408}| 'd4_conv2': {'count': 1| 'size': 2.8204}| 'd5_conv1': {'count': 1| 'size': 2.8204}| 'd5_conv2': {'count': 1| 'size': 1.41}| 'd4_conv5': {'count': 1| 'size': 1.41}| 'nk_conv8': {'count': 1| 'size': 1.41}| 'd3_conv5': {'count': 1| 'size': 2.8204}| 'nk_conv15': {'count': 1| 'size': 2.8204}| 'decode1': {'count': 1| 'size': 0.0}| 'decode2': {'count': 1| 'size': 0.0}| 'decode3': {'count': 1| 'size': 0.0}| 'non_max_suppression': {'count': 1| 'size': 0.0}}
625,0.2615089334933174,0,2,{'d1_conv2': {'count': 1| 'size': 45.1248}| 'd1_conv3': {'count': 1| 'size': 22.5624}| 'd2_conv1': {'count': 1| 'size': 22.5624}| 'd2_conv2': {'count': 1| 'size': 11.2812}| 'd3_conv1': {'count': 1| 'size': 11.2812}| 'd3_conv2': {'count': 1| 'size': 5.6408}| 'd4_conv1': {'count': 1| 'size': 5.6408}| 'd4_conv2': {'count': 1| 'size': 2.8204}| 'd5_conv1': {'count': 1| 'size': 2.8204}| 'd5_conv2': {'count': 1| 'size': 1.41}| 'nk_conv3': {'count': 2| 'size': 1.41}| 'nk_maxpl2': {'count': 1| 'size': 0.7052}| 'nk_maxpl3': {'count': 1| 'size': 0.7052}| 'd4_conv5': {'count': 1| 'size': 1.41}| 'nk_conv8': {'count': 1| 'size': 1.41}| 'd3_conv5': {'count': 1| 'size': 2.8204}| 'nk_conv15': {'count': 1| 'size': 2.8204}| 'decode1': {'count': 1| 'size': 0.0}| 'decode2': {'count': 1| 'size': 0.0}| 'decode3': {'count': 1| 'size': 0.0}| 'non_max_suppression': {'count': 1| 'size': 0.0}}
700,0.2615089334933174,0,2,{'d1_conv2': {'count': 1| 'size': 45.1248}| 'd1_conv3': {'count': 1| 'size': 22.5624}| 'd2_conv1': {'count': 1| 'size': 22.5624}| 'd2_conv2': {'count': 1| 'size': 11.2812}| 'd3_conv1': {'count': 1| 'size': 11.2812}| 'd3_conv2': {'count': 1| 'size': 5.6408}| 'd4_conv1': {'count': 1| 'size': 5.6408}| 'd4_conv2': {'count': 1| 'size': 2.8204}| 'd5_conv1': {'count': 1| 'size': 2.8204}| 'd5_conv2': {'count': 1| 'size': 1.41}| 'nk_conv3': {'count': 2| 'size': 1.41}| 'nk_maxpl2': {'count': 1| 'size': 0.7052}| 'nk_maxpl3': {'count': 1| 'size': 0.7052}| 'd4_conv5': {'count': 1| 'size': 1.41}| 'nk_conv8': {'count': 1| 'size': 1.41}| 'd3_conv5': {'count': 1| 'size': 2.8204}| 'nk_conv15': {'count': 1| 'size': 2.8204}| 'decode1': {'count': 1| 'size': 0.0}| 'decode2': {'count': 1| 'size': 0.0}| 'decode3': {'count': 1| 'size': 0.0}| 'non_max_suppression': {'count': 1| 'size': 0.0}}
775,0.2615089334933174,0,2,{'d1_conv2': {'count': 1| 'size': 45.1248}| 'd1_conv3': {'count': 1| 'size': 22.5624}| 'd2_conv1': {'count': 1| 'size': 22.5624}| 'd2_conv2': {'count': 1| 'size': 11.2812}| 'd3_conv1': {'count': 1| 'size': 11.2812}| 'd3_conv2': {'count': 1| 'size': 5.6408}| 'd4_conv1': {'count': 1| 'size': 5.6408}| 'd4_conv2': {'count': 1| 'size': 2.8204}| 'd5_conv1': {'count': 1| 'size': 2.8204}| 'd5_conv2': {'count': 1| 'size': 1.41}| 'nk_conv3': {'count': 2| 'size': 1.41}| 'nk_maxpl2': {'count': 1| 'size': 0.7052}| 'nk_maxpl3': {'count': 1| 'size': 0.7052}| 'd4_conv5': {'count': 1| 'size': 1.41}| 'nk_conv8': {'count': 1| 'size': 1.41}| 'd3_conv5': {'count': 1| 'size': 2.8204}| 'nk_conv15': {'count': 1| 'size': 2.8204}| 'decode1': {'count': 1| 'size': 0.0}| 'decode2': {'count': 1| 'size': 0.0}| 'decode3': {'count': 1| 'size': 0.0}| 'non_max_suppression': {'count': 1| 'size': 0.0}}
850,0.2615089334933174,0,2,{'d1_conv2': {'count': 1| 'size': 45.1248}| 'd1_conv3': {'count': 1| 'size': 22.5624}| 'd2_conv1': {'count': 1| 'size': 22.5624}| 'd2_conv2': {'count': 1| 'size': 11.2812}| 'd3_conv1': {'count': 1| 'size': 11.2812}| 'd3_conv2': {'count': 1| 'size': 5.6408}| 'd4_conv1': {'count': 1| 'size': 5.6408}| 'd4_conv2': {'count': 1| 'size': 2.8204}| 'd5_conv1': {'count': 1| 'size': 2.8204}| 'd5_conv2': {'count': 1| 'size': 1.41}| 'nk_conv3': {'count': 2| 'size': 1.41}| 'nk_maxpl2': {'count': 1| 'size': 0.7052}| 'nk_maxpl3': {'count': 1| 'size': 0.7052}| 'd4_conv5': {'count': 1| 'size': 1.41}| 'nk_conv8': {'count': 1| 'size': 1.41}| 'd3_conv5': {'count': 1| 'size': 2.8204}| 'nk_conv15': {'count': 1| 'size': 2.8204}| 'decode1': {'count': 1| 'size': 0.0}| 'decode2': {'count': 1| 'size': 0.0}| 'decode3': {'count': 1| 'size': 0.0}| 'non_max_suppression': {'count': 1| 'size': 0.0}}
925,0.2615089334933174,0,2,{'d1_conv2': {'count': 1| 'size': 45.1248}| 'd1_conv3': {'count': 1| 'size': 22.5624}| 'd2_conv1': {'count': 1| 'size': 22.5624}| 'd2_conv2': {'count': 1| 'size': 11.2812}| 'd3_conv1': {'count': 1| 'size': 11.2812}| 'd3_conv2': {'count': 1| 'size': 5.6408}| 'd4_conv1': {'count': 1| 'size': 5.6408}| 'd4_conv2': {'count': 1| 'size': 2.8204}| 'd5_conv1': {'count': 1| 'size': 2.8204}| 'd5_conv2': {'count': 1| 'size': 1.41}| 'nk_conv3': {'count': 2| 'size': 1.41}| 'nk_maxpl2': {'count': 1| 'size': 0.7052}| 'nk_maxpl3': {'count': 1| 'size': 0.7052}| 'd4_conv5': {'count': 1| 'size': 1.41}| 'nk_conv8': {'count': 1| 'size': 1.41}| 'd3_conv5': {'count': 1| 'size': 2.8204}| 'nk_conv15': {'count': 1| 'size': 2.8204}| 'decode1': {'count': 1| 'size': 0.0}| 'decode2': {'count': 1| 'size': 0.0}| 'decode3': {'count': 1| 'size': 0.0}| 'non_max_suppression': {'count': 1| 'size': 0.0}}
