bandwidth,optimizer,energy,device,payload
750,6.756279017559635,0,2,{'reg_convs_2': {'count': 1| 'size': 0.0305}| 'obj_preds_2': {'count': 1| 'size': 0.0061}| 'C3_n3': {'count': 1| 'size': 0.7812}| 'stems_0': {'count': 1| 'size': 0.7812}| 'cls_preds_0': {'count': 1| 'size': 3.125}| 'partial_out_2': {'count': 1| 'size': 0.0015}}
1000,7.699315908380228,0,2,{'C3_n3': {'count': 1| 'size': 0.7812}| 'lateral_conv0': {'count': 1| 'size': 0.7812}| 'reg_convs_2': {'count': 1| 'size': 0.0305}| 'reg_preds_2': {'count': 1| 'size': 0.1953}| 'stems_0': {'count': 1| 'size': 0.7812}| 'cls_preds_0': {'count': 1| 'size': 3.125}| 'partial_out_1': {'count': 1| 'size': 0.0061}}
1250,9.126516343500441,0,3,{'C3_n3': {'count': 1| 'size': 0.7812}| 'lateral_conv0': {'count': 1| 'size': 0.7812}| 'stems_2': {'count': 1| 'size': 0.1526}| 'reg_convs_2': {'count': 1| 'size': 0.0305}| 'obj_preds_2': {'count': 1| 'size': 0.0061}| 'cls_preds_2': {'count': 1| 'size': 0.1953}| 'stems_1': {'count': 1| 'size': 0.6104}| 'reg_preds_1': {'count': 1| 'size': 0.7812}| 'obj_preds_1': {'count': 1| 'size': 0.0244}| 'stems_0': {'count': 1| 'size': 0.7812}| 'cls_preds_0': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.0244}}
1500,11.832716568790389,0,4,{'C3_p3': {'count': 1| 'size': 3.125}| 'C3_n3': {'count': 1| 'size': 0.7812}| 'lateral_conv0': {'count': 1| 'size': 0.7812}| 'stems_2': {'count': 1| 'size': 0.1526}| 'reg_convs_2': {'count': 1| 'size': 0.0305}| 'reg_preds_2': {'count': 1| 'size': 0.1953}| 'obj_preds_2': {'count': 1| 'size': 0.0061}| 'stems_1': {'count': 1| 'size': 0.6104}| 'reg_convs_1': {'count': 1| 'size': 0.1221}| 'reg_preds_1': {'count': 1| 'size': 0.7812}| 'obj_preds_1': {'count': 1| 'size': 0.0244}| 'partial_out_2': {'count': 1| 'size': 0.0015}}
1750,13.419301324705344,0,5,{'C3_p3': {'count': 1| 'size': 3.125}| 'stems_0': {'count': 1| 'size': 0.7812}| 'reg_preds_0': {'count': 1| 'size': 3.125}| 'obj_preds_0': {'count': 1| 'size': 0.0977}| 'C3_n3': {'count': 1| 'size': 0.7812}| 'lateral_conv0': {'count': 1| 'size': 0.7812}| 'stems_2': {'count': 1| 'size': 0.1526}| 'reg_convs_2': {'count': 1| 'size': 0.0305}| 'reg_preds_2': {'count': 1| 'size': 0.1953}| 'obj_preds_2': {'count': 1| 'size': 0.0061}| 'stems_1': {'count': 1| 'size': 0.6104}| 'reg_convs_1': {'count': 1| 'size': 0.1221}| 'reg_preds_1': {'count': 1| 'size': 0.7812}| 'obj_preds_1': {'count': 1| 'size': 0.0244}| 'partial_out_2': {'count': 1| 'size': 0.0015}}
2000,14.102907295079945,0,5,{'C3_p3': {'count': 1| 'size': 3.125}| 'stems_0': {'count': 1| 'size': 0.7812}| 'reg_preds_0': {'count': 1| 'size': 3.125}| 'obj_preds_0': {'count': 1| 'size': 0.0977}| 'C3_n3': {'count': 1| 'size': 0.7812}| 'lateral_conv0': {'count': 1| 'size': 0.7812}| 'stems_2': {'count': 1| 'size': 0.1526}| 'reg_convs_2': {'count': 1| 'size': 0.0305}| 'obj_preds_2': {'count': 1| 'size': 0.0061}| 'cls_preds_2': {'count': 1| 'size': 0.1953}| 'stems_1': {'count': 1| 'size': 0.6104}| 'reg_convs_1': {'count': 1| 'size': 0.1221}| 'reg_preds_1': {'count': 1| 'size': 0.7812}| 'obj_preds_1': {'count': 1| 'size': 0.0244}| 'partial_out_2': {'count': 1| 'size': 0.0015}}
2250,14.102907295079945,0,5,{'C3_p3': {'count': 1| 'size': 3.125}| 'stems_0': {'count': 1| 'size': 0.7812}| 'reg_preds_0': {'count': 1| 'size': 3.125}| 'obj_preds_0': {'count': 1| 'size': 0.0977}| 'C3_n3': {'count': 1| 'size': 0.7812}| 'lateral_conv0': {'count': 1| 'size': 0.7812}| 'stems_2': {'count': 1| 'size': 0.1526}| 'reg_convs_2': {'count': 1| 'size': 0.0305}| 'obj_preds_2': {'count': 1| 'size': 0.0061}| 'cls_preds_2': {'count': 1| 'size': 0.1953}| 'stems_1': {'count': 1| 'size': 0.6104}| 'reg_convs_1': {'count': 1| 'size': 0.1221}| 'reg_preds_1': {'count': 1| 'size': 0.7812}| 'obj_preds_1': {'count': 1| 'size': 0.0244}| 'partial_out_2': {'count': 1| 'size': 0.0015}}
2500,14.102907295079945,0,5,{'C3_p3': {'count': 1| 'size': 3.125}| 'stems_0': {'count': 1| 'size': 0.7812}| 'reg_preds_0': {'count': 1| 'size': 3.125}| 'obj_preds_0': {'count': 1| 'size': 0.0977}| 'C3_n3': {'count': 1| 'size': 0.7812}| 'lateral_conv0': {'count': 1| 'size': 0.7812}| 'stems_2': {'count': 1| 'size': 0.1526}| 'reg_convs_2': {'count': 1| 'size': 0.0305}| 'obj_preds_2': {'count': 1| 'size': 0.0061}| 'cls_preds_2': {'count': 1| 'size': 0.1953}| 'stems_1': {'count': 1| 'size': 0.6104}| 'reg_convs_1': {'count': 1| 'size': 0.1221}| 'reg_preds_1': {'count': 1| 'size': 0.7812}| 'obj_preds_1': {'count': 1| 'size': 0.0244}| 'partial_out_2': {'count': 1| 'size': 0.0015}}
2750,14.102907295079945,0,5,{'C3_p3': {'count': 1| 'size': 3.125}| 'stems_0': {'count': 1| 'size': 0.7812}| 'reg_preds_0': {'count': 1| 'size': 3.125}| 'obj_preds_0': {'count': 1| 'size': 0.0977}| 'C3_n3': {'count': 1| 'size': 0.7812}| 'lateral_conv0': {'count': 1| 'size': 0.7812}| 'stems_2': {'count': 1| 'size': 0.1526}| 'reg_convs_2': {'count': 1| 'size': 0.0305}| 'obj_preds_2': {'count': 1| 'size': 0.0061}| 'cls_preds_2': {'count': 1| 'size': 0.1953}| 'stems_1': {'count': 1| 'size': 0.6104}| 'reg_convs_1': {'count': 1| 'size': 0.1221}| 'reg_preds_1': {'count': 1| 'size': 0.7812}| 'obj_preds_1': {'count': 1| 'size': 0.0244}| 'partial_out_2': {'count': 1| 'size': 0.0015}}
3000,14.102907295079945,0,5,{'C3_p3': {'count': 1| 'size': 3.125}| 'stems_0': {'count': 1| 'size': 0.7812}| 'reg_preds_0': {'count': 1| 'size': 3.125}| 'obj_preds_0': {'count': 1| 'size': 0.0977}| 'C3_n3': {'count': 1| 'size': 0.7812}| 'lateral_conv0': {'count': 1| 'size': 0.7812}| 'stems_2': {'count': 1| 'size': 0.1526}| 'reg_convs_2': {'count': 1| 'size': 0.0305}| 'obj_preds_2': {'count': 1| 'size': 0.0061}| 'cls_preds_2': {'count': 1| 'size': 0.1953}| 'stems_1': {'count': 1| 'size': 0.6104}| 'reg_convs_1': {'count': 1| 'size': 0.1221}| 'reg_preds_1': {'count': 1| 'size': 0.7812}| 'obj_preds_1': {'count': 1| 'size': 0.0244}| 'partial_out_2': {'count': 1| 'size': 0.0015}}
3500,14.605755611052075,0,4,{'C3_p3': {'count': 1| 'size': 3.125}| 'reduce_conv1': {'count': 1| 'size': 1.5625}| 'lateral_conv0': {'count': 1| 'size': 0.7812}| 'reg_convs_2': {'count': 1| 'size': 0.0305}| 'stems_2': {'count': 1| 'size': 0.1526}| 'reg_preds_2': {'count': 1| 'size': 0.1953}| 'obj_preds_2': {'count': 1| 'size': 0.0061}| 'C3_n3': {'count': 1| 'size': 0.7812}| 'stems_0': {'count': 1| 'size': 0.7812}| 'cls_preds_0': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.0244}| 'partial_out_1': {'count': 1| 'size': 0.0061}}
4000,14.955263926692922,0,4,{'C3_p3': {'count': 1| 'size': 3.125}| 'reduce_conv1': {'count': 1| 'size': 1.5625}| 'lateral_conv0': {'count': 1| 'size': 0.7812}| 'reg_convs_2': {'count': 1| 'size': 0.0305}| 'stems_2': {'count': 1| 'size': 0.1526}| 'reg_preds_2': {'count': 1| 'size': 0.1953}| 'obj_preds_2': {'count': 1| 'size': 0.0061}| 'C3_n3': {'count': 1| 'size': 0.7812}| 'stems_0': {'count': 1| 'size': 0.7812}| 'cls_preds_0': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.0244}| 'partial_out_1': {'count': 1| 'size': 0.0061}}
