bandwidth,optimizer,energy,device,payload
250,3.2786536607497254,1953.3349702659034,2,{'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
400,10.354965122214054,2483.175559765,3,{'C3_p3': {'count': 1| 'size': 7.8125}| 'stems_2': {'count': 1| 'size': 0.4883}| 'cls_preds_2': {'count': 1| 'size': 0.1221}| 'partial_out_1': {'count': 1| 'size': 0.5188}| 'partial_out_2': {'count': 1| 'size': 0.1297}}
550,10.6706413078783,1878.841640737527,3,{'C3_p3': {'count': 1| 'size': 7.8125}| 'stems_2': {'count': 1| 'size': 0.4883}| 'cls_preds_2': {'count': 1| 'size': 0.1221}| 'partial_out_1': {'count': 1| 'size': 0.5188}| 'partial_out_2': {'count': 1| 'size': 0.1297}}
700,10.762346574199327,1476.2327177223428,3,{'C3_p3': {'count': 1| 'size': 7.8125}| 'stems_2': {'count': 1| 'size': 0.4883}| 'cls_preds_2': {'count': 1| 'size': 0.1221}| 'partial_out_1': {'count': 1| 'size': 0.5188}| 'partial_out_2': {'count': 1| 'size': 0.1297}}
850,10.821685275936488,1215.7210616536938,3,{'C3_p3': {'count': 1| 'size': 7.8125}| 'stems_2': {'count': 1| 'size': 0.4883}| 'cls_preds_2': {'count': 1| 'size': 0.1221}| 'partial_out_1': {'count': 1| 'size': 0.5188}| 'partial_out_2': {'count': 1| 'size': 0.1297}}
1000,10.889349515113707,1694.1256265108677,3,{'C3_p3': {'count': 1| 'size': 7.8125}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'cls_preds_2': {'count': 1| 'size': 0.1221}| 'stems_1': {'count': 1| 'size': 1.9531}| 'cls_preds_1': {'count': 1| 'size': 0.4883}| 'partial_out_2': {'count': 1| 'size': 0.1297}}
1150,11.087461257178362,2830.755754925561,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
1300,11.465323759210222,2546.4385334613667,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
1450,11.765007812545818,2264.3126484155655,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
1600,12.00850110588101,1983.4186533069344,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
1750,12.210252691787318,1953.8163317077147,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
1900,12.380148764129444,1814.8803212713487,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
2050,12.525181996616652,1687.5799698829717,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
2200,12.650437970128335,1572.5176992091328,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
2350,12.759703819361889,1489.751910500295,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
2500,12.855857766687464,1416.020228009909,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
2650,12.9411263614856,1350.0485153812137,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
2800,13.017259035412508,1234.4489401173907,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
2950,13.085649403516342,1171.6803499419304,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
3100,13.147421348900435,1114.9861394608693,3,{'stems_0': {'count': 1| 'size': 7.8125}| 'cls_preds_0': {'count': 1| 'size': 1.9531}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
