bandwidth,optimizer,energy,device,payload
250,11.0339952632538,0,3,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
400,13.253233740207705,0,4,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
550,13.424833137349083,0,4,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
700,13.934726596049245,0,4,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
850,14.297321916560406,0,4,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1000,15.734887957733662,0,4,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1150,15.753451567165968,0,4,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1300,15.767731266729271,0,4,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1450,15.77905654569328,0,4,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1600,15.78825833485152,0,4,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1750,15.795882674439795,0,4,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
