bandwidth,exec_time,benchmark,speedup,num_devices,payload_agg
1,0.503989,0.509311,0.010449,2,0.668
1.25,0.499103,0.509311,0.020043,2,22.0291
1.5,0.477258,0.509311,0.062935,2,26.3222
1.625,0.468856,0.509311,0.079431,2,27.7633
1.75,0.461654,0.509311,0.093572,3,27.1513
1.825,0.457806,0.509311,0.101126,3,27.1513
2,0.457761,0.509311,0.101215,3,27.1513
3,0.457761,0.509311,0.101215,3,27.1513
5,0.457761,0.509311,0.101215,3,27.1513
8,0.457761,0.509311,0.101215,3,27.1513
10,0.451778,0.509311,0.112962,7,153.2313
INF,0.440646,0.509311,0.134819,2,146.8113
