layer_name,time,cpu_mem,cuda_mem,size,macs
transform,0.000949,-1,-1,7.68,-1
conv1,0.00317,-1,-1,40.96,-1
bn1,0.002745,-1,-1,40.96,-1
relu,0.000699,-1,-1,40.96,-1
maxpool,0.000779,-1,-1,10.24,-1
layer1,0.029673,-1,-1,40.96,-1
layer2,0.032109,-1,-1,20.48,-1
layer3,0.038225,-1,-1,10.24,-1
layer4,0.020292,-1,-1,5.12,-1
inner_3,0.000995,-1,-1,0.64,-1
layer_3,0.000736,-1,-1,0.64,-1
inner_2,0.001516,-1,-1,2.56,-1
interpolate__2,0.000109,-1,-1,2.56,-1
layer_2,0.001958,-1,-1,2.56,-1
inner_1,0.00247,-1,-1,10.24,-1
interpolate__1,0.000242,-1,-1,10.24,-1
layer_1,0.006,-1,-1,10.24,-1
inner_0,0.0052,-1,-1,40.96,-1
interpolate__0,0.000843,-1,-1,40.96,-1
layer_0,0.021284,-1,-1,40.96,-1
extra,0.00014,-1,-1,0.1731,-1
rpn_parallel_f0,0.027818,-1,-1,0.028,-1
rpn_parallel_f1,0.010123,-1,-1,0.028,-1
rpn_parallel_f2,0.005136,-1,-1,0.028,-1
rpn_parallel_f3,0.00419,-1,-1,0.028,-1
rpn_parallel_f4,0.003921,-1,-1,0.0142,-1
rpn_merger,0.004095,-1,-1,0.02,-1
box_roi_pool,0.013119,-1,-1,50.176,-1
fc6,0.027244,-1,-1,4.096,-1
fc7,0.001848,-1,-1,4.096,-1
cls_score,0.000318,-1,-1,0.364,-1
bbox_pred,0.000821,-1,-1,1.456,-1
postprocess_detections,0.003671,-1,-1,0,-1
input,0.0,-1,-1,0.6021,-1
output,0.0,-1,-1,0,-1
add__2,0.0,-1,-1,2.56,-1
add__1,0.0,-1,-1,10.24,-1
add__0,0.0,-1,-1,40.96,-1
