layer_name,time,cpu_mem,cuda_mem,size,macs
input,0,0,0,0.6021,0
transform,0.000505,-1,-1,7.68,-1
conv1,0.00053,-1,-1,40.96,-1
bn1,0.000609,-1,-1,40.96,-1
relu,0.000233,-1,-1,40.96,-1
maxpool,0.000273,-1,-1,10.24,-1
layer1,0.007994,-1,-1,40.96,-1
layer2,0.007621,-1,-1,20.48,-1
layer3,0.007763,-1,-1,10.24,-1
layer4,0.004295,-1,-1,5.12,-1
inner_3,0.000272,-1,-1,0.64,-1
layer_3,0.000133,-1,-1,0.64,-1
inner_2,0.000248,-1,-1,2.56,-1
interpolate__2,1.8e-05,-1,-1,2.56,-1
layer_2,0.0003,-1,-1,2.56,-1
inner_1,0.00043,-1,-1,10.24,-1
interpolate__1,5.2e-05,-1,-1,10.24,-1
layer_1,0.00093,-1,-1,10.24,-1
inner_0,0.001027,-1,-1,40.96,-1
interpolate__0,0.000187,-1,-1,40.96,-1
layer_0,0.003303,-1,-1,40.96,-1
extra,5e-06,-1,-1,0.1731,-1
rpn_parallel_f0,0.005882,-1,-1,0.028,-1
rpn_parallel_f1,0.002681,-1,-1,0.028,-1
rpn_parallel_f2,0.002059,-1,-1,0.028,-1
rpn_parallel_f3,0.002035,-1,-1,0.028,-1
rpn_parallel_f4,0.002043,-1,-1,0.0142,-1
rpn_merger,0.002078,-1,-1,0.02,-1
box_roi_pool,0.003811,-1,-1,50.176,-1
fc6,0.003727,-1,-1,4.096,-1
fc7,0.000322,-1,-1,4.096,-1
cls_score,6e-05,-1,-1,0.364,-1
bbox_pred,0.000139,-1,-1,1.456,-1
postprocess_detections,0.00199,-1,-1,0,-1
resize,0,0,0,0,0
output,0,0,0,0,0
add__2,0,0,0,2.56,0
add__1,0,0,0,10.24,0
add__0,0,0,0,40.96,0
