layer_name,time,cpu_mem,cuda_mem,size,macs
input,0,0,0,0.6021,0
transform,0.01473,-1,-1,7.68,-1
conv1,0.03533,-1,-1,40.96,-1
bn1,0.028113,-1,-1,40.96,-1
relu,0.004066,-1,-1,40.96,-1
maxpool,0.011407,-1,-1,10.24,-1
layer1,0.237569,-1,-1,40.96,-1
layer2,0.233942,-1,-1,20.48,-1
layer3,0.26391,-1,-1,10.24,-1
layer4,0.182832,-1,-1,5.12,-1
inner_3,0.004347,-1,-1,0.64,-1
layer_3,0.003926,-1,-1,0.64,-1
inner_2,0.007528,-1,-1,2.56,-1
interpolate__2,0.000499,-1,-1,2.56,-1
layer_2,0.012816,-1,-1,2.56,-1
inner_1,0.016728,-1,-1,10.24,-1
interpolate__1,0.001744,-1,-1,10.24,-1
layer_1,0.041835,-1,-1,10.24,-1
inner_0,0.039748,-1,-1,40.96,-1
interpolate__0,0.007441,-1,-1,40.96,-1
layer_0,0.15394,-1,-1,40.96,-1
extra,0.00119,-1,-1,0.1731,-1
rpn_parallel_f0,0.186119,-1,-1,0.028,-1
rpn_parallel_f1,0.064352,-1,-1,0.028,-1
rpn_parallel_f2,0.022994,-1,-1,0.028,-1
rpn_parallel_f3,0.013072,-1,-1,0.028,-1
rpn_parallel_f4,0.010167,-1,-1,0.0142,-1
rpn_merger,0.015284,-1,-1,0.02,-1
box_roi_pool,0.121107,-1,-1,50.176,-1
fc6,0.142354,-1,-1,4.096,-1
fc7,0.011461,-1,-1,4.096,-1
cls_score,0.001412,-1,-1,0.364,-1
bbox_pred,0.004173,-1,-1,1.456,-1
postprocess_detections,0.009567,-1,-1,0,-1
resize,0,0,0,0,0
output,0,0,0,0,0
add__2,0,0,0,2.56,0
add__1,0,0,0,10.24,0
add__0,0,0,0,40.96,0
