layer_name,time,cpu_mem,cuda_mem,size,macs
input,0,0,0,0.6021,0
transform,0.011688,-1,30.459,7.68,-1
conv1,0.034842,-1,160.938,40.96,-1
bn1,0.029256,-1,80.001,40.96,-1
relu,0.004134,-1,0,40.96,-1
maxpool,0.01264,-1,40,10.24,-1
layer1,0.331726,-1,1321.404,40.96,-1
layer2,0.332978,-1,928.078,20.48,-1
layer3,0.375208,-1,674.72,10.24,-1
layer4,0.266262,-1,233.848,5.12,-1
inner_3,0.011485,-1,2.504,0.64,-1
layer_3,0.006902,-1,8.75,0.64,-1
inner_2,0.013603,-1,11.655,2.56,-1
interpolate__2,0.002016,-1,2.44,2.56,-1
layer_2,0.021586,-1,16.01,2.56,-1
inner_1,0.029342,-1,39.139,10.24,-1
interpolate__1,0.004427,-1,9.77,10.24,-1
layer_1,0.061879,-1,45.33,10.24,-1
inner_0,0.061895,-1,160.2345,40.96,-1
interpolate__0,0.011639,-1,40,40.96,-1
layer_0,0.215281,-1,166.25,40.96,-1
extra,0.003628,-1,1.014,0.1731,-1
rpn_parallel_f0,0.257156,-1,289.68,0.028,-1
rpn_parallel_f1,0.085069,-1,75.961,0.028,-1
rpn_parallel_f2,0.033471,-1,24.7455,0.028,-1
rpn_parallel_f3,0.018935,-1,10.8675,0.028,-1
rpn_parallel_f4,0.016309,-1,7.5425,0.0142,-1
rpn_merger,0.02698,-1,3.9545,0.02,-1
box_roi_pool,0.172158,-1,242.5805,50.176,-1
fc6,0.1893,-1,15.64,4.096,-1
fc7,0.018494,-1,15.64,4.096,-1
cls_score,0.002868,-1,0.711,0.364,-1
bbox_pred,0.007388,-1,2.78,1.456,-1
postprocess_detections,0.016378,-1,25.6746,0,-1
resize,0,0,0,0,0
output,0,0,0,0,0
add__2,0,0,0,2.56,0
add__1,0,0,0,10.24,0
add__0,0,0,0,40.96,0
