bandwidth,exec_time,benchmark,speedup,num_devices,payload_agg
0.375,1.851308,1.905703,0.028543,2,25.656
0.4375,1.788893,1.905703,0.061294,2,27.1211
0.5,1.742082,1.905703,0.085859,2,27.1513
0.625,1.735351,1.905703,0.089391,2,27.1513
0.75,1.735351,1.905703,0.089391,2,27.1513
1,1.735351,1.905703,0.089391,2,27.1513
2,1.725107,1.905703,0.094766,7,153.2313
2.5,1.714355,1.905703,0.100408,6,153.2313
3,1.707187,1.905703,0.104169,6,153.2313
5,1.692851,1.905703,0.111692,6,153.2313
INF,1.669935,1.905703,0.123716,2,146.8113
