layer_name,time,cpu_mem,cuda_mem,size,macs
input,0,0,0,0.6021,0
transform,0.004965333,-1,-1,7.68,-1
conv1,0.018747,-1,-1,40.96,-1
bn1,0.0040345,-1,-1,40.96,-1
relu,0.004016,-1,-1,40.96,-1
maxpool,0.009228,-1,-1,10.24,-1
layer1,0.237423667,-1,-1,40.96,-1
layer2,0.234928333,-1,-1,20.48,-1
layer3,0.261855667,-1,-1,10.24,-1
layer4,0.184556667,-1,-1,5.12,-1
inner_3,0.004397,-1,-1,0.64,-1
layer_3,0.003919667,-1,-1,0.64,-1
inner_2,0.007595667,-1,-1,2.56,-1
interpolate__2,0.0005045,-1,-1,2.56,-1
layer_2,0.012803167,-1,-1,2.56,-1
inner_1,0.016858333,-1,-1,10.24,-1
interpolate__1,0.001750333,-1,-1,10.24,-1
layer_1,0.041695667,-1,-1,10.24,-1
inner_0,0.040055,-1,-1,40.96,-1
interpolate__0,0.0068965,-1,-1,40.96,-1
layer_0,0.153588833,-1,-1,40.96,-1
extra,0.000148333,-1,-1,0.1731,-1
rpn_parallel_f0,0.179152333,-1,-1,0.028,-1
rpn_parallel_f1,0.0540075,-1,-1,0.028,-1
rpn_parallel_f2,0.023001667,-1,-1,0.028,-1
rpn_parallel_f3,0.012755833,-1,-1,0.028,-1
rpn_parallel_f4,0.010322833,-1,-1,0.0142,-1
rpn_merger,0.019069167,-1,-1,0.02,-1
box_roi_pool,0.118600833,-1,-1,50.176,-1
fc6,0.140843333,-1,-1,4.096,-1
fc7,0.011548167,-1,-1,4.096,-1
cls_score,0.001421167,-1,-1,0.364,-1
bbox_pred,0.004199167,-1,-1,1.456,-1
postprocess_detections,0.010618167,-1,-1,0,-1
resize,0,0,0,0,0
output,0,0,0,0,0
add__2,0,0,0,2.56,0
add__1,0,0,0,10.24,0
add__0,0,0,0,40.96,0
