layer_name,time,cpu_mem,cuda_mem,size,macs
input,0,0,0,0,0
0,0.000615,0,26.24,6.8813,0
1,0.00584,0,378.44,36.7002,0
2,0.005226,0,162.49,18.3501,0
3,0.001132,0,96.68,9.175,0
4,5.10E-05,0,0,18.3501,0
5,0.001135,0,96.68,9.175,0
6,0.000977,0,96.67,9.175,0
7,0.002413,0,123.03,9.175,0
8,0.000367,0,8.75,9.175,0
9,0.000971,0,96.67,9.175,0
10,0.002331,0,123.03,9.175,0
11,0.000368,0,8.75,9.175,0
12,0.000955,0,96.67,9.175,0
13,0.002357,0,123.03,9.175,0
14,0.000368,0,8.75,9.175,0
15,0.000746,0,70,18.3501,0
16,0.002056,0,175.44,18.3501,0
17,0.003762,0,88.17,9.175,0
18,0.00067,0,52.21,4.5875,0
19,6.60E-05,0,0,9.175,0
20,0.000671,0,51.4,4.5875,0
21,0.00055,0,48.31,4.5875,0
22,0.001671,0,63.8,4.5875,0
23,0.000187,0,4.38,4.5875,0
24,0.000642,0,48.31,4.5875,0
25,0.001666,0,63.8,4.5875,0
26,0.000186,0,4.38,4.5875,0
27,0.000555,0,48.31,4.5875,0
28,0.001668,0,63.8,4.5875,0
29,0.000187,0,4.38,4.5875,0
30,0.000559,0,48.31,4.5875,0
31,0.001664,0,63.8,4.5875,0
32,0.000188,0,4.38,4.5875,0
33,0.000555,0,48.31,4.5875,0
34,0.001665,0,63.8,4.5875,0
35,0.000187,0,4.38,4.5875,0
36,0.000559,0,48.31,4.5875,0
37,0.001667,0,63.8,4.5875,0
38,0.000189,0,4.38,4.5875,0
39,0.000553,0,48.31,4.5875,0
40,0.001664,0,63.8,4.5875,0
41,0.000186,0,4.38,4.5875,0
42,0.000385,0,35,9.175,0
43,0.001279,0,87.73,9.175,0
44,0.003208,0,39.51,3.4406,0
45,0.000504,0,23.72,1.7203,0
46,6.20E-05,0,0,3.4406,0
47,0.000572,0,27.61,1.7203,0
48,0.000478,0,27.6,1.7203,0
49,0.001097,0,32.05,1.7203,0
50,0.0001,0,2.5,1.7203,0
51,0.000509,0,23.3,1.7203,0
52,0.001091,0,26.87,1.7203,0
53,8.60E-05,0,3.38,1.7203,0
54,0.000433,0,18.14,1.7203,0
55,0.001088,0,28.38,1.7203,0
56,8.30E-05,0,1.32,1.7203,0
57,0.000425,0,20,1.7203,0
58,0.001097,0,27.43,1.7203,0
59,7.40E-05,0,2.27,1.7203,0
60,0.000462,0,18.14,1.7203,0
61,0.001093,0,27.75,1.7203,0
62,7.40E-05,0,1.64,1.7203,0
63,0.000439,0,18.14,1.7203,0
64,0.001103,0,27.75,1.7203,0
65,7.30E-05,0,1.64,1.7203,0
66,0.000409,0,18.14,1.7203,0
67,0.001096,0,27.75,1.7203,0
68,7.30E-05,0,1.64,1.7203,0
69,0.000164,0,13.12,3.4406,0
70,0.000613,0,36.42,3.4406,0
71,0.001704,0,19.91,1.1469,0
72,0.000424,0,6.168,0.5734,0
73,4.50E-05,0,0,1.1469,0
74,0.000405,0,6.168,0.5734,0
75,0.000382,0,6.167,0.5734,0
76,0.000683,0,16.284,0.5734,0
77,8.80E-05,0,0.56,0.5734,0
78,0.000433,0,6.167,0.5734,0
79,0.000689,0,16.284,0.5734,0
80,8.70E-05,0,0.56,0.5734,0
81,0.000378,0,6.167,0.5734,0
82,0.000685,0,16.284,0.5734,0
83,8.70E-05,0,0.56,0.5734,0
84,9.60E-05,0,5.72,1.1469,0
85,0.000437,0,14.224,1.1469,0
86,0.001337,0,9.83,0.3584,0
87,0.000624,0,1.9365,0.1792,0
88,5.40E-05,0,0,0.3584,0
89,0.000535,0,1.9365,0.1792,0
90,0.000436,0,1.9355,0.1792,0
91,0.00051,0,15.721,0.1792,0
92,8.90E-05,0,0.175,0.1792,0
93,0.000381,0,1.9355,0.1792,0
94,0.000516,0,15.721,0.1792,0
95,8.70E-05,0,0.175,0.1792,0
96,0.000406,0,1.9355,0.1792,0
97,0.000549,0,15.721,0.1792,0
98,8.90E-05,0,0.175,0.1792,0
99,9.60E-05,0,1.4,0.3584,0
100,0.000574,0,3.5175,0.3584,0
101,0.000553,0,1.9365,0.1792,0
102,4.50E-05,0,0,0.3584,0
103,0.000536,0,1.9365,0.1792,0
104,0.000508,0,15.721,0.1792,0
105,0.000412,0,1.7605,0.1792,0
106,8.30E-05,0,1.225,0.1792,0
107,4.40E-05,0,0,0.1792,0
108,0.000183,0,1.225,0.1792,0
