layer_name,time,cpu_mem,cuda_mem,size,macs
input,0,0,0,0,0
0,0.001936,0,26.24,6.8813,0
1,0.016584,0,378.44,36.7002,0
2,0.013996,0,162.49,18.3501,0
3,0.003164,0,96.68,9.175,0
4,0.000109,0,0,18.3501,0
5,0.003148,0,96.68,9.175,0
6,0.002515,0,96.67,9.175,0
7,0.006275,0,123.03,9.175,0
8,0.000613,0,8.75,9.175,0
9,0.002505,0,96.67,9.175,0
10,0.006253,0,123.03,9.175,0
11,0.000612,0,8.75,9.175,0
12,0.002516,0,96.67,9.175,0
13,0.006272,0,123.03,9.175,0
14,0.000611,0,8.75,9.175,0
15,0.002307,0,70,18.3501,0
16,0.005474,0,175.44,18.3501,0
17,0.010261,0,88.17,9.175,0
18,0.00175,0,52.21,4.5875,0
19,9.7E-05,0,0,9.175,0
20,0.001757,0,51.4,4.5875,0
21,0.001435,0,48.31,4.5875,0
22,0.004826,0,63.8,4.5875,0
23,0.000309,0,4.38,4.5875,0
24,0.001435,0,48.31,4.5875,0
25,0.004755,0,63.8,4.5875,0
26,0.000432,0,4.38,4.5875,0
27,0.001427,0,48.31,4.5875,0
28,0.004832,0,63.8,4.5875,0
29,0.000311,0,4.38,4.5875,0
30,0.001428,0,48.31,4.5875,0
31,0.004836,0,63.8,4.5875,0
32,0.000447,0,4.38,4.5875,0
33,0.001437,0,48.31,4.5875,0
34,0.00484,0,63.8,4.5875,0
35,0.000309,0,4.38,4.5875,0
36,0.001426,0,48.31,4.5875,0
37,0.00476,0,63.8,4.5875,0
38,0.00031,0,4.38,4.5875,0
39,0.001435,0,48.31,4.5875,0
40,0.004811,0,63.8,4.5875,0
41,0.000312,0,4.38,4.5875,0
42,0.001163,0,35,9.175,0
43,0.003421,0,87.73,9.175,0
44,0.008694,0,39.51,3.4406,0
45,0.001032,0,23.72,1.7203,0
46,0.000106,0,0,3.4406,0
47,0.001042,0,27.61,1.7203,0
48,0.000892,0,27.6,1.7203,0
49,0.002708,0,32.05,1.7203,0
50,0.000209,0,2.5,1.7203,0
51,0.000879,0,23.3,1.7203,0
52,0.002703,0,26.87,1.7203,0
53,0.000228,0,3.38,1.7203,0
54,0.00104,0,18.14,1.7203,0
55,0.002702,0,28.38,1.7203,0
56,0.00024,0,1.32,1.7203,0
57,0.000924,0,20,1.7203,0
58,0.002711,0,27.43,1.7203,0
59,0.000258,0,2.27,1.7203,0
60,0.000902,0,18.14,1.7203,0
61,0.002711,0,27.75,1.7203,0
62,0.000209,0,1.64,1.7203,0
63,0.000898,0,18.14,1.7203,0
64,0.002701,0,27.75,1.7203,0
65,0.000237,0,1.64,1.7203,0
66,0.000913,0,18.14,1.7203,0
67,0.002708,0,27.75,1.7203,0
68,0.000208,0,1.64,1.7203,0
69,0.00047,0,13.12,3.4406,0
70,0.00164,0,36.42,3.4406,0
71,0.004502,0,19.91,1.1469,0
72,0.000942,0,6.168,0.5734,0
73,9.7E-05,0,0,1.1469,0
74,0.00092,0,6.168,0.5734,0
75,0.000917,0,6.167,0.5734,0
76,0.001986,0,16.284,0.5734,0
77,0.000283,0,0.56,0.5734,0
78,0.000819,0,6.167,0.5734,0
79,0.001977,0,16.284,0.5734,0
80,0.00021,0,0.56,0.5734,0
81,0.000848,0,6.167,0.5734,0
82,0.001978,0,16.284,0.5734,0
83,0.000209,0,0.56,0.5734,0
84,0.000183,0,5.72,1.1469,0
85,0.000983,0,14.224,1.1469,0
86,0.003736,0,9.83,0.3584,0
87,0.001117,0,1.9365,0.1792,0
88,0.000405,0,0,0.3584,0
89,0.00115,0,1.9365,0.1792,0
90,0.000853,0,1.9355,0.1792,0
91,0.00137,0,15.721,0.1792,0
92,0.000202,0,0.175,0.1792,0
93,0.001173,0,1.9355,0.1792,0
94,0.001369,0,15.721,0.1792,0
95,0.000196,0,0.175,0.1792,0
96,0.001,0,1.9355,0.1792,0
97,0.001363,0,15.721,0.1792,0
98,0.000233,0,0.175,0.1792,0
99,0.000205,0,1.4,0.3584,0
100,0.001175,0,3.5175,0.3584,0
101,0.00114,0,1.9365,0.1792,0
102,0.000168,0,0,0.3584,0
103,0.001157,0,1.9365,0.1792,0
104,0.001374,0,15.721,0.1792,0
105,0.000852,0,1.7605,0.1792,0
106,0.000236,0,1.225,0.1792,0
107,0.000123,0,0,0.1792,0
108,0.000561,0,1.225,0.1792,0
109,0.000133,0,0,0.1792,0
110,0.001,0,1.225,0.1792,0
111,0.000314,0,2.8,0.7168,0
112,0.00131,0,1.239,0.1792,0
113,0.001381,0,15.721,0.1792,0
114,0.000227,0,1.4,0.3584,0
115,0.001223,0,1.5865,0.1792,0
116,0.000955,0,1.5475,0.1434,0
117,0.000208,0,0.98,0.5734,0
118,9.6E-05,0,0,1.1469,0
119,0.000852,0,6.168,0.5734,0
120,0.000191,0,5.72,1.1469,0
121,0.00085,0,4.704,0.5734,0
122,0.000901,0,6.167,0.5734,0
123,9.8E-05,0,0,0.5734,0
124,0.000886,0,6.167,0.5734,0
125,0.001975,0,16.284,0.5734,0
126,0.000895,0,5.607,0.5734,0
127,0.001985,0,16.284,0.5734,0
128,0.000977,0,5.607,0.5734,0
129,0.001987,0,16.284,0.5734,0
130,0.000276,0,5.72,1.1469,0
131,0.000914,0,4.704,0.5734,0
132,0.00089,0,4.627,0.4301,0
133,0.000257,0,2.87,1.7203,0
134,0.000102,0,0,3.4406,0
135,0.001035,0,18.21,1.7203,0
136,0.000463,0,13.12,3.4406,0
137,0.001033,0,14.93,1.7203,0
138,0.00111,0,18.14,1.7203,0
139,0.000116,0,0,1.7203,0
140,0.000926,0,18.14,1.7203,0
141,0.00271,0,27.75,1.7203,0
142,0.000966,0,16.5,1.7203,0
143,0.002713,0,27.75,1.7203,0
144,0.000939,0,16.5,1.7203,0
145,0.002704,0,27.75,1.7203,0
146,0.000456,0,13.12,3.4406,0
147,0.001049,0,14.93,1.7203,0
148,0.000862,0,14.11,1.1469,0
149,0.000613,0,7.33,4.5875,0
150,0.000131,0,0,9.175,0
151,0.001746,0,49.89,4.5875,0
152,0.001155,0,35,9.175,0
153,0.001754,0,41.45,4.5875,0
154,0.001436,0,48.31,4.5875,0
155,0.000105,0,0,4.5875,0
156,0.001421,0,48.31,4.5875,0
157,0.004822,0,63.8,4.5875,0
158,0.001434,0,43.93,4.5875,0
159,0.004825,0,63.8,4.5875,0
160,0.001442,0,43.93,4.5875,0
161,0.004819,0,63.8,4.5875,0
162,0.001157,0,35,9.175,0
163,0.001756,0,39.58,4.5875,0
164,0.002717,0,20.13,1.7203,0
165,0.000458,0,13.12,3.4406,0
166,0.001034,0,16.79,1.7203,0
167,0.000932,0,18.14,1.7203,0
168,9.7E-05,0,0,1.7203,0
169,0.000804,0,18.14,1.7203,0
170,0.002708,0,27.75,1.7203,0
