layername,priority
input,0
0,812.5
1,812.5
2,812.5
3,812.4980926513672
4,812.5
5,812.5
6,812.5
7,812.5
8,812.5
9,812.5
10,812.5
11,812.5
12,812.5
13,812.5
14,812.5
15,812.5
16,812.5
17,812.5
18,812.01171875
19,812.5
20,812.5
21,812.5
22,812.5
23,812.5
24,812.5
25,812.5
26,812.5
27,812.5
28,812.5
29,812.5
30,812.5
31,812.5
32,812.5
33,812.5
34,812.5
35,812.5
36,812.5
37,812.5
38,812.5
39,812.5
40,812.5
41,812.5
42,812.5
43,812.5
44,811.5234375
45,811.4013671875
46,811.5234375
47,811.5234375
48,811.5234375
49,811.5234375
50,811.5234375
51,811.5234375
52,811.5234375
53,811.5234375
54,811.5234375
55,811.5234375
56,811.5234375
57,811.5234375
58,811.5234375
59,811.5234375
60,811.5234375
61,811.5234375
62,811.5234375
63,811.5234375
64,811.5234375
65,811.5234375
66,811.5234375
67,811.5234375
68,811.5234375
69,811.5234375
70,811.5234375
71,811.279296875
72,811.248779296875
73,811.279296875
74,811.279296875
75,811.279296875
76,811.279296875
77,811.279296875
78,811.279296875
79,811.279296875
80,811.279296875
81,811.279296875
82,811.279296875
83,811.279296875
84,811.279296875
85,811.279296875
86,811.21826171875
87,811.2144470214844
88,811.21826171875
89,811.21826171875
90,811.21826171875
91,811.21826171875
92,811.21826171875
93,811.21826171875
94,811.21826171875
95,811.21826171875
96,811.21826171875
97,811.21826171875
98,811.21826171875
99,811.21826171875
100,811.21826171875
101,811.187744140625
102,811.21826171875
103,811.21826171875
104,811.21826171875
105,811.21826171875
106,811.2030029296875
107,811.2106323242188
108,811.2106323242188
109,811.21826171875
110,811.21826171875
111,811.21826171875
112,811.21826171875
113,811.21826171875
114,811.21826171875
115,811.21826171875
116,811.21826171875
117,811.21826171875
118,811.279296875
119,811.279296875
120,811.279296875
121,811.279296875
122,811.1572265625
123,811.279296875
124,811.279296875
125,811.279296875
126,811.279296875
127,811.279296875
128,811.279296875
129,811.279296875
130,811.279296875
131,811.279296875
132,811.279296875
133,811.279296875
134,811.5234375
135,811.5234375
136,811.5234375
137,811.5234375
138,811.03515625
139,811.5234375
140,811.5234375
141,811.5234375
142,811.5234375
143,811.5234375
144,811.5234375
145,811.5234375
146,811.5234375
147,811.5234375
148,811.5234375
149,811.5234375
150,812.5
151,812.5
152,812.5
153,812.5
154,810.546875
155,812.5
156,812.5
157,812.5
158,812.5
159,812.5
160,812.5
161,812.5
162,812.5
163,812.5
164,812.5
165,812.5
166,812.5
167,804.6875
168,812.5
169,812.5
170,812.5
171,812.5
172,812.5
173,812.5
174,812.5
175,812.5
176,812.5
177,812.5
178,812.5
179,812.5
180,781.25
181,812.5
182,812.5
183,812.5
184,812.5
185,812.5
186,812.5
187,812.5
188,812.5
189,812.5
190,62.5
191,62.5
192,62.5
193,31.25
194,62.5
195,62.5
196,62.5
197,62.5
198,62.5
199,62.5
200,62.5
201,62.5
202,62.5
203,375.0
204,625.0
205,875.0
206,125.0
207,500.0
208,750.0
209,1000.0
210,250.0
211,312.5
212,312.5
213,375.0
214,375.0
215,500.0
216,500.0
output_,1000.0
217,562.5
218,562.5
219,625.0
220,625.0
221,750.0
222,750.0
223,812.5
224,812.5
225,875.0
226,875.0
227,1000.0
228,1000.0
229,62.5
230,62.5
231,125.0
232,125.0
233,250.0
234,250.0
output,1000
