layer_name,time,cpu_mem,cuda_mem,size,macs
input,0,0,0,0,0
0,0.000135,0,0,6.8813,0
1,0.001763,0,0,36.7002,0
2,0.001433,0,0,18.3501,0
3,0.000398,0,0,9.175,0
4,2e-05,0,0,18.3501,0
5,0.000398,0,0,9.175,0
6,0.000327,0,0,9.175,0
7,0.000566,0,0,9.175,0
8,0.000183,0,0,9.175,0
9,0.000328,0,0,9.175,0
10,0.000568,0,0,9.175,0
11,0.000183,0,0,9.175,0
12,0.00033,0,0,9.175,0
13,0.000566,0,0,9.175,0
14,0.000183,0,0,9.175,0
15,0.00015,0,0,18.3501,0
16,0.000714,0,0,18.3501,0
17,0.00117,0,0,9.175,0
18,0.000264,0,0,4.5875,0
19,2e-05,0,0,9.175,0
20,0.000244,0,0,4.5875,0
21,0.000189,0,0,4.5875,0
22,0.000393,0,0,4.5875,0
23,9.5e-05,0,0,4.5875,0
24,0.00019,0,0,4.5875,0
25,0.000392,0,0,4.5875,0
26,9.2e-05,0,0,4.5875,0
27,0.000197,0,0,4.5875,0
28,0.000393,0,0,4.5875,0
29,9.5e-05,0,0,4.5875,0
30,0.000189,0,0,4.5875,0
31,0.000391,0,0,4.5875,0
32,9.4e-05,0,0,4.5875,0
33,0.000191,0,0,4.5875,0
34,0.000392,0,0,4.5875,0
35,9.4e-05,0,0,4.5875,0
36,0.000197,0,0,4.5875,0
37,0.000393,0,0,4.5875,0
38,9.4e-05,0,0,4.5875,0
39,0.00019,0,0,4.5875,0
40,0.000392,0,0,4.5875,0
41,9.4e-05,0,0,4.5875,0
42,8e-05,0,0,9.175,0
43,0.000452,0,0,9.175,0
44,0.000846,0,0,3.4406,0
45,0.000196,0,0,1.7203,0
46,3.4e-05,0,0,3.4406,0
47,0.000181,0,0,1.7203,0
48,0.000172,0,0,1.7203,0
49,0.00021,0,0,1.7203,0
50,5e-05,0,0,1.7203,0
51,0.000173,0,0,1.7203,0
52,0.000212,0,0,1.7203,0
53,5e-05,0,0,1.7203,0
54,0.000197,0,0,1.7203,0
55,0.000212,0,0,1.7203,0
56,4.9e-05,0,0,1.7203,0
57,0.000172,0,0,1.7203,0
58,0.000212,0,0,1.7203,0
59,6.2e-05,0,0,1.7203,0
60,0.00017,0,0,1.7203,0
61,0.000214,0,0,1.7203,0
62,4.7e-05,0,0,1.7203,0
63,0.000173,0,0,1.7203,0
64,0.000213,0,0,1.7203,0
65,4.5e-05,0,0,1.7203,0
66,0.000168,0,0,1.7203,0
67,0.000213,0,0,1.7203,0
68,4.5e-05,0,0,1.7203,0
69,5.7e-05,0,0,3.4406,0
70,0.000233,0,0,3.4406,0
71,0.000612,0,0,1.1469,0
72,0.000169,0,0,0.5734,0
73,3.1e-05,0,0,1.1469,0
74,0.000181,0,0,0.5734,0
75,0.000168,0,0,0.5734,0
76,0.00017,0,0,0.5734,0
77,5.5e-05,0,0,0.5734,0
78,0.00017,0,0,0.5734,0
79,0.000173,0,0,0.5734,0
80,5.5e-05,0,0,0.5734,0
81,0.000166,0,0,0.5734,0
82,0.000171,0,0,0.5734,0
83,5.7e-05,0,0,0.5734,0
84,5.2e-05,0,0,1.1469,0
85,0.00018,0,0,1.1469,0
86,0.000429,0,0,0.3584,0
87,0.000171,0,0,0.1792,0
88,2.2e-05,0,0,0.3584,0
89,0.000166,0,0,0.1792,0
90,0.000169,0,0,0.1792,0
91,0.000194,0,0,0.1792,0
92,5.8e-05,0,0,0.1792,0
93,0.000166,0,0,0.1792,0
94,0.000172,0,0,0.1792,0
95,5.6e-05,0,0,0.1792,0
96,0.000182,0,0,0.1792,0
97,0.000159,0,0,0.1792,0
98,5.6e-05,0,0,0.1792,0
99,5.2e-05,0,0,0.3584,0
100,0.000185,0,0,0.3584,0
101,0.000166,0,0,0.1792,0
102,2e-05,0,0,0.3584,0
103,0.000168,0,0,0.1792,0
104,0.00016,0,0,0.1792,0
105,0.000167,0,0,0.1792,0
106,9.2e-05,0,0,0.1792,0
107,2.5e-05,0,0,0.1792,0
108,0.000286,0,0,0.1792,0
109,1.9e-05,0,0,0.1792,0
110,0.00054,0,0,0.1792,0
111,5.3e-05,0,0,0.7168,0
112,0.000173,0,0,0.1792,0
113,0.000165,0,0,0.1792,0
114,5.2e-05,0,0,0.3584,0
115,0.000172,0,0,0.1792,0
116,0.000179,0,0,0.1434,0
117,5.3e-05,0,0,0.5734,0
118,1.9e-05,0,0,1.1469,0
119,0.000166,0,0,0.5734,0
120,5.2e-05,0,0,1.1469,0
121,0.000169,0,0,0.5734,0
122,0.000167,0,0,0.5734,0
123,1.9e-05,0,0,0.5734,0
124,0.000166,0,0,0.5734,0
125,0.000173,0,0,0.5734,0
126,0.000169,0,0,0.5734,0
127,0.000174,0,0,0.5734,0
128,0.000167,0,0,0.5734,0
129,0.000171,0,0,0.5734,0
130,5.4e-05,0,0,1.1469,0
131,0.000169,0,0,0.5734,0
132,0.000167,0,0,0.4301,0
133,5.7e-05,0,0,1.7203,0
134,2.1e-05,0,0,3.4406,0
135,0.000184,0,0,1.7203,0
136,5.6e-05,0,0,3.4406,0
137,0.000189,0,0,1.7203,0
138,0.000178,0,0,1.7203,0
139,2e-05,0,0,1.7203,0
140,0.000164,0,0,1.7203,0
141,0.000212,0,0,1.7203,0
142,0.000175,0,0,1.7203,0
143,0.000212,0,0,1.7203,0
144,0.000167,0,0,1.7203,0
145,0.00021,0,0,1.7203,0
146,5e-05,0,0,3.4406,0
147,0.00018,0,0,1.7203,0
148,0.00017,0,0,1.1469,0
149,4.9e-05,0,0,4.5875,0
150,1.9e-05,0,0,9.175,0
151,0.000243,0,0,4.5875,0
152,8e-05,0,0,9.175,0
153,0.000244,0,0,4.5875,0
154,0.00019,0,0,4.5875,0
155,2e-05,0,0,4.5875,0
156,0.000189,0,0,4.5875,0
157,0.0004,0,0,4.5875,0
158,0.000204,0,0,4.5875,0
159,0.000393,0,0,4.5875,0
160,0.000197,0,0,4.5875,0
161,0.000394,0,0,4.5875,0
162,8e-05,0,0,9.175,0
163,0.00026,0,0,4.5875,0
164,0.000281,0,0,1.7203,0
165,5.5e-05,0,0,3.4406,0
166,0.00018,0,0,1.7203,0
167,0.000168,0,0,1.7203,0
168,2.1e-05,0,0,1.7203,0
169,0.000181,0,0,1.7203,0
170,0.000214,0,0,1.7203,0
171,0.00018,0,0,1.7203,0
172,0.000211,0,0,1.7203,0
173,0.00018,0,0,1.7203,0
174,0.000212,0,0,1.7203,0
175,6.4e-05,0,0,3.4406,0
176,0.000179,0,0,1.7203,0
177,0.000218,0,0,0.5734,0
178,5.3e-05,0,0,1.1469,0
179,0.000171,0,0,0.5734,0
180,0.000169,0,0,0.5734,0
181,1.9e-05,0,0,0.5734,0
182,0.000168,0,0,0.5734,0
183,0.00017,0,0,0.5734,0
184,0.000181,0,0,0.5734,0
185,0.000171,0,0,0.5734,0
186,0.000167,0,0,0.5734,0
187,0.000172,0,0,0.5734,0
188,5.5e-05,0,0,1.1469,0
189,0.00017,0,0,0.5734,0
190,0.000259,0,0,0.1792,0
191,5.2e-05,0,0,0.3584,0
192,0.00017,0,0,0.1792,0
193,0.000168,0,0,0.1792,0
194,1.9e-05,0,0,0.1792,0
195,0.000167,0,0,0.1792,0
196,0.000159,0,0,0.1792,0
197,0.000166,0,0,0.1792,0
198,0.000163,0,0,0.1792,0
199,0.000166,0,0,0.1792,0
200,0.000159,0,0,0.1792,0
201,5.7e-05,0,0,0.3584,0
202,0.000169,0,0,0.1792,0
203,2.1e-05,0,0,0.0005,0
204,2.3e-05,0,0,0.0008,0
205,2.3e-05,0,0,0.001,0
206,2.2e-05,0,0,0.0013,0
207,2e-05,0,0,0.0005,0
208,2e-05,0,0,0.0005,0
209,2e-05,0,0,0.0005,0
210,2.1e-05,0,0,0.0005,0
211,2.1e-05,0,0,4.5875,0
212,0.000758,0,0,9.175,0
213,0.000182,0,0,9.175,0
214,0.000429,0,0,9.1392,0
215,0.000182,0,0,9.1392,0
216,0.000417,0,0,9.1392,0
217,2.4e-05,0,0,1.7203,0
218,0.000413,0,0,3.4406,0
219,7.1e-05,0,0,3.4406,0
220,0.000163,0,0,2.2848,0
221,5.7e-05,0,0,2.2848,0
222,0.000356,0,0,2.2848,0
223,2.3e-05,0,0,0.5734,0
224,0.000264,0,0,1.1469,0
225,6.6e-05,0,0,1.1469,0
226,0.000107,0,0,0.5712,0
227,6.3e-05,0,0,0.5712,0
228,0.000313,0,0,0.5712,0
229,2.4e-05,0,0,0.1792,0
230,0.000201,0,0,0.3584,0
231,6.9e-05,0,0,0.3584,0
232,0.000116,0,0,0.1428,0
233,6.4e-05,0,0,0.1428,0
234,0.000311,0,0,0.1428,0
output_,0,0,0,0,0
output,0,0,0,0,0
