layername,device
input,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,2
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,3
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,4
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,2
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,3
119,3
120,5
121,5
122,3
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,4
135,4
136,5
137,5
138,4
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,2
151,2
152,5
153,5
154,1
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,0
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,2
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,3
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,0
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,0
212,0
213,0
214,0
215,0
216,0
output_,5
217,1
218,1
219,1
220,1
221,1
222,1
223,4
224,4
225,4
226,4
227,4
228,4
229,5
230,5
231,5
232,5
233,5
234,5
output,5
