layer_name,time,cpu_mem,cuda_mem,size,macs
input,0,0,0,0,0
0,0.009321,0,26.24,6.8813,0
1,0.082545,0,378.44,36.7002,0
2,0.090662,0,162.49,18.3501,0
3,0.016964,0,96.68,9.175,0
4,0.001616,0,0,18.3501,0
5,0.016957,0,96.68,9.175,0
6,0.012252,0,96.67,9.175,0
7,0.036596,0,123.03,9.175,0
8,0.002061,0,8.75,9.175,0
9,0.012234,0,96.67,9.175,0
10,0.036339,0,123.03,9.175,0
11,0.001622,0,8.75,9.175,0
12,0.012231,0,96.67,9.175,0
13,0.036317,0,123.03,9.175,0
14,0.002777,0,8.75,9.175,0
15,0.010974,0,70,18.3501,0
16,0.031691,0,175.44,18.3501,0
17,0.095755,0,88.17,9.175,0
18,0.012874,0,52.21,4.5875,0
19,0.000813,0,0,9.175,0
20,0.012843,0,51.4,4.5875,0
21,0.007962,0,48.31,4.5875,0
22,0.028862,0,63.8,4.5875,0
23,0.001604,0,4.38,4.5875,0
24,0.007978,0,48.31,4.5875,0
25,0.028906,0,63.8,4.5875,0
26,0.001592,0,4.38,4.5875,0
27,0.007963,0,48.31,4.5875,0
28,0.028967,0,63.8,4.5875,0
29,0.002678,0,4.38,4.5875,0
30,0.007957,0,48.31,4.5875,0
31,0.028914,0,63.8,4.5875,0
32,0.002001,0,4.38,4.5875,0
33,0.007978,0,48.31,4.5875,0
34,0.028796,0,63.8,4.5875,0
35,0.00192,0,4.38,4.5875,0
36,0.007962,0,48.31,4.5875,0
37,0.028856,0,63.8,4.5875,0
38,0.002579,0,4.38,4.5875,0
39,0.007953,0,48.31,4.5875,0
40,0.028938,0,63.8,4.5875,0
41,0.002073,0,4.38,4.5875,0
42,0.005494,0,35,9.175,0
43,0.025657,0,87.73,9.175,0
44,0.066324,0,39.51,3.4406,0
45,0.006671,0,23.72,1.7203,0
46,0.001561,0,0,3.4406,0
47,0.006642,0,27.61,1.7203,0
48,0.004048,0,27.6,1.7203,0
49,0.015676,0,32.05,1.7203,0
50,0.001553,0,2.5,1.7203,0
51,0.00406,0,23.3,1.7203,0
52,0.015747,0,26.87,1.7203,0
53,0.001883,0,3.38,1.7203,0
54,0.004028,0,18.14,1.7203,0
55,0.015751,0,28.38,1.7203,0
56,0.00145,0,1.32,1.7203,0
57,0.004043,0,20,1.7203,0
58,0.015741,0,27.43,1.7203,0
59,0.001454,0,2.27,1.7203,0
60,0.004045,0,18.14,1.7203,0
61,0.015611,0,27.75,1.7203,0
62,0.001523,0,1.64,1.7203,0
63,0.004043,0,18.14,1.7203,0
64,0.015848,0,27.75,1.7203,0
65,0.001265,0,1.64,1.7203,0
66,0.004042,0,18.14,1.7203,0
67,0.015732,0,27.75,1.7203,0
68,0.001191,0,1.64,1.7203,0
69,0.002068,0,13.12,3.4406,0
70,0.012501,0,36.42,3.4406,0
71,0.034234,0,19.91,1.1469,0
72,0.004562,0,6.168,0.5734,0
73,0.000694,0,0,1.1469,0
74,0.004565,0,6.168,0.5734,0
75,0.002836,0,6.167,0.5734,0
76,0.01019,0,16.284,0.5734,0
77,0.001392,0,0.56,0.5734,0
78,0.002566,0,6.167,0.5734,0
79,0.010105,0,16.284,0.5734,0
80,0.001127,0,0.56,0.5734,0
81,0.002574,0,6.167,0.5734,0
82,0.010104,0,16.284,0.5734,0
83,0.001072,0,0.56,0.5734,0
