layername,priority
input,0
0,812.5
1,812.5
2,812.5
3,812.5
4,812.255859375
5,812.255859375
6,812.225341796875
7,812.225341796875
8,812.255859375
9,812.19482421875
10,812.19482421875
11,812.255859375
12,812.1337890625
13,812.1337890625
14,812.255859375
15,812.5
16,812.5
17,812.5
18,812.5
19,812.01171875
20,812.01171875
21,812.0079040527344
22,812.0079040527344
23,812.01171875
24,812.0040893554688
25,812.0040893554688
26,812.01171875
27,811.9964599609375
28,811.9964599609375
29,812.01171875
30,811.981201171875
31,811.981201171875
32,812.01171875
33,811.95068359375
34,811.95068359375
35,812.01171875
36,811.8896484375
37,811.8896484375
38,812.01171875
39,811.767578125
40,811.767578125
41,812.01171875
42,812.5
43,812.5
44,812.5
45,812.5
46,811.5234375
47,811.5234375
48,811.5158081054688
49,811.5158081054688
50,811.5234375
51,811.5081787109375
52,811.5081787109375
53,811.5234375
54,811.492919921875
55,811.492919921875
56,811.5234375
57,811.46240234375
58,811.46240234375
59,811.5234375
60,811.4013671875
61,811.4013671875
62,811.5234375
63,811.279296875
64,811.279296875
65,811.5234375
66,811.03515625
67,811.03515625
68,811.5234375
69,812.5
70,812.5
71,812.5
72,812.5
73,810.546875
74,810.546875
75,810.302734375
76,810.302734375
77,810.546875
78,810.05859375
79,810.05859375
80,810.546875
81,809.5703125
82,809.5703125
83,810.546875
84,812.5
85,812.5
86,812.5
87,812.5
88,808.59375
89,808.59375
90,808.10546875
91,808.10546875
92,808.59375
93,807.6171875
94,807.6171875
95,808.59375
96,806.640625
97,806.640625
98,808.59375
99,812.5
100,812.5
101,812.5
102,804.6875
103,804.6875
104,804.6875
105,804.6875
106,802.734375
107,800.78125
108,800.78125
109,798.828125
110,798.828125
111,804.6875
112,804.6875
113,804.6875
114,812.5
115,812.5
116,796.875
117,796.875
118,795.8984375
119,795.8984375
120,796.875
121,796.875
122,796.875
123,794.921875
124,794.921875
125,794.921875
126,794.921875
127,794.921875
128,794.921875
129,794.921875
130,796.875
131,796.875
132,792.96875
133,792.96875
134,792.724609375
135,792.724609375
136,792.96875
137,792.96875
138,792.96875
139,792.48046875
140,792.48046875
141,792.48046875
142,792.48046875
143,792.48046875
144,792.48046875
145,792.48046875
146,792.96875
147,792.96875
148,791.9921875
149,791.9921875
150,791.748046875
151,791.748046875
152,791.9921875
153,791.9921875
154,791.9921875
155,791.50390625
156,791.50390625
157,791.50390625
158,791.50390625
159,791.50390625
160,791.50390625
161,791.50390625
162,791.9921875
163,791.9921875
164,791.9921875
165,792.96875
166,792.96875
167,792.96875
168,791.015625
169,791.015625
170,791.015625
171,791.015625
172,791.015625
173,791.015625
174,791.015625
175,792.96875
176,792.96875
177,792.96875
178,796.875
179,796.875
180,796.875
181,789.0625
182,789.0625
183,789.0625
184,789.0625
185,789.0625
186,789.0625
187,789.0625
188,796.875
189,796.875
190,796.875
191,812.5
192,812.5
193,812.5
194,781.25
195,781.25
196,781.25
197,781.25
198,781.25
199,781.25
200,781.25
201,812.5
202,812.5
203,125.0
204,375.0
205,625.0
206,875.0
207,250.0
208,500.0
209,750.0
210,1000.0
211,62.5
212,62.5
213,125.0
214,125.0
215,250.0
216,250.0
output_,1000.0
217,312.5
218,312.5
219,375.0
220,375.0
221,500.0
222,500.0
223,562.5
224,562.5
225,625.0
226,625.0
227,750.0
228,750.0
229,812.5
230,812.5
231,875.0
232,875.0
233,1000.0
234,1000.0
output,1000
