layer_name,time,cpu_mem,cuda_mem,size,macs
input,0,0,0,0,0
0,0.006344,0,0,6.8813,0
1,0.058543,0,0,36.7002,0
2,0.062242,0,0,18.3501,0
3,0.012199,0,0,9.175,0
4,0.001331,0,0,18.3501,0
5,0.012181,0,0,9.175,0
6,0.008811,0,0,9.175,0
7,0.029308,0,0,9.175,0
8,0.001336,0,0,9.175,0
9,0.008788,0,0,9.175,0
10,0.027922,0,0,9.175,0
11,0.001346,0,0,9.175,0
12,0.008818,0,0,9.175,0
13,0.028127,0,0,9.175,0
14,0.001917,0,0,9.175,0
15,0.007468,0,0,18.3501,0
16,0.022279,0,0,18.3501,0
17,0.068219,0,0,9.175,0
18,0.009086,0,0,4.5875,0
19,0.001074,0,0,9.175,0
20,0.009077,0,0,4.5875,0
21,0.005562,0,0,4.5875,0
22,0.021381,0,0,4.5875,0
23,0.002099,0,0,4.5875,0
24,0.005577,0,0,4.5875,0
25,0.021722,0,0,4.5875,0
26,0.001872,0,0,4.5875,0
27,0.005581,0,0,4.5875,0
28,0.021385,0,0,4.5875,0
29,0.001657,0,0,4.5875,0
30,0.005574,0,0,4.5875,0
31,0.021724,0,0,4.5875,0
32,0.001569,0,0,4.5875,0
33,0.005572,0,0,4.5875,0
34,0.021348,0,0,4.5875,0
35,0.001048,0,0,4.5875,0
36,0.005564,0,0,4.5875,0
37,0.021333,0,0,4.5875,0
38,0.001582,0,0,4.5875,0
39,0.005653,0,0,4.5875,0
40,0.021611,0,0,4.5875,0
41,0.001623,0,0,4.5875,0
42,0.003734,0,0,9.175,0
43,0.018139,0,0,9.175,0
44,0.045891,0,0,3.4406,0
45,0.004647,0,0,1.7203,0
46,0.00074,0,0,3.4406,0
47,0.004667,0,0,1.7203,0
48,0.002849,0,0,1.7203,0
49,0.011216,0,0,1.7203,0
50,0.001245,0,0,1.7203,0
51,0.00286,0,0,1.7203,0
52,0.011411,0,0,1.7203,0
53,0.000883,0,0,1.7203,0
54,0.002852,0,0,1.7203,0
55,0.01131,0,0,1.7203,0
56,0.000943,0,0,1.7203,0
57,0.002862,0,0,1.7203,0
58,0.011519,0,0,1.7203,0
59,0.000959,0,0,1.7203,0
60,0.002859,0,0,1.7203,0
61,0.011353,0,0,1.7203,0
62,0.000932,0,0,1.7203,0
63,0.002849,0,0,1.7203,0
64,0.011483,0,0,1.7203,0
65,0.001258,0,0,1.7203,0
66,0.002866,0,0,1.7203,0
67,0.011315,0,0,1.7203,0
68,0.000654,0,0,1.7203,0
69,0.001416,0,0,3.4406,0
70,0.008577,0,0,3.4406,0
71,0.025674,0,0,1.1469,0
72,0.003203,0,0,0.5734,0
73,0.000322,0,0,1.1469,0
74,0.003199,0,0,0.5734,0
75,0.00205,0,0,0.5734,0
76,0.007162,0,0,0.5734,0
77,0.001678,0,0,0.5734,0
78,0.002189,0,0,0.5734,0
79,0.007107,0,0,0.5734,0
80,0.000782,0,0,0.5734,0
81,0.002442,0,0,0.5734,0
82,0.007155,0,0,0.5734,0
83,0.001002,0,0,0.5734,0
84,0.000783,0,0,1.1469,0
85,0.006337,0,0,1.1469,0
86,0.015396,0,0,0.3584,0
87,0.002554,0,0,0.1792,0
88,0.000246,0,0,0.3584,0
89,0.001603,0,0,0.1792,0
90,0.001188,0,0,0.1792,0
91,0.004634,0,0,0.1792,0
92,0.000993,0,0,0.1792,0
93,0.001408,0,0,0.1792,0
94,0.004587,0,0,0.1792,0
95,0.000647,0,0,0.1792,0
96,0.001589,0,0,0.1792,0
97,0.004598,0,0,0.1792,0
98,0.000684,0,0,0.1792,0
99,0.00057,0,0,0.3584,0
100,0.002529,0,0,0.3584,0
101,0.001289,0,0,0.1792,0
102,0.000161,0,0,0.3584,0
103,0.001295,0,0,0.1792,0
104,0.004633,0,0,0.1792,0
105,0.001627,0,0,0.1792,0
106,0.000617,0,0,0.1792,0
107,0.000215,0,0,0.1792,0
108,0.00152,0,0,0.1792,0
109,0.000232,0,0,0.1792,0
110,0.002714,0,0,0.1792,0
111,0.000698,0,0,0.7168,0
112,0.002432,0,0,0.1792,0
113,0.004639,0,0,0.1792,0
114,0.000647,0,0,0.3584,0
115,0.00159,0,0,0.1792,0
116,0.001063,0,0,0.1434,0
117,0.000249,0,0,0.5734,0
118,0.000164,0,0,1.1469,0
119,0.003212,0,0,0.5734,0
120,0.000469,0,0,1.1469,0
121,0.003207,0,0,0.5734,0
122,0.001813,0,0,0.5734,0
123,0.000241,0,0,0.5734,0
