src,dst
input,embeddings
input,Interpolation
embeddings,layer_0
Interpolation,layer_1
Interpolation,layer_2
Interpolation,layer_3
Interpolation,layer_4
Interpolation,layer_5
Interpolation,layer_6
Interpolation,layer_7
Interpolation,layer_8
Interpolation,layer_9
Interpolation,layer_10
Interpolation,layer_11
layer_0,layer_1
layer_1,layer_2
layer_2,layer_3
layer_3,layer_4
layer_4,layer_5
layer_5,layer_6
layer_6,layer_7
layer_7,layer_8
layer_8,layer_9
layer_9,layer_10
layer_10,layer_11
layer_11,Layer_Norm
Layer_Norm,Class_Labels_Classifier
Layer_Norm,Box_Predictor
Class_Labels_Classifier,output
Box_Predictor,output
