layername,priority
input,0
Embedding,1000.0
layer_0_mid_position_embedding,1000.0
layer_1_mid_position_embedding,999.9999999999991
layer_2_mid_position_embedding,999.9999999999716
layer_3_mid_position_embedding,999.9999999990905
layer_4_mid_position_embedding,999.9999999708962
layer_5_mid_position_embedding,999.9999995343387
layer_6_mid_position_embedding,999.9999850988388
layer_7_mid_position_embedding,999.9995231628418
layer_8_mid_position_embedding,999.9847412109375
layer_9_mid_position_embedding,999.51171875
layer_10_mid_position_embedding,984.375
layer_0_Layer_Norm_Before,1000.0
layer_0_Query,1000.0
layer_0_Key,1000.0
layer_0_Value,1000.0
layer_0_mul,1000.0
layer_0_div,1000.0
layer_0_softmax,1000.0
layer_0_dropout,1000.0
layer_0_context,1000.0
layer_0_Self_Attention_Output,1000.0
layer_0_Residual_Connection_1,1000.0
layer_0_Layer_Norm_After,1000.0
layer_0_Intermediate_Forward,1000.0
layer_0_Output,1000.0
layer_0_add_mid_position_embedding,1000.0
layer_1_Layer_Norm_Before,1000.0
layer_1_Query,1000.0
layer_1_Key,1000.0
layer_1_Value,999.9999999999999
layer_1_mul,1000.0
layer_1_div,1000.0
layer_1_softmax,1000.0
layer_1_dropout,1000.0
layer_1_context,1000.0
layer_1_Self_Attention_Output,1000.0
layer_1_Residual_Connection_1,1000.0
layer_1_Layer_Norm_After,1000.0
layer_1_Intermediate_Forward,1000.0
layer_1_Output,1000.0
layer_1_add_mid_position_embedding,1000.0
layer_2_Layer_Norm_Before,1000.0
layer_2_Query,1000.0
layer_2_Key,1000.0
layer_2_Value,1000.0
layer_2_mul,1000.0
layer_2_div,1000.0
layer_2_softmax,1000.0
layer_2_dropout,1000.0
layer_2_context,1000.0
layer_2_Self_Attention_Output,1000.0
layer_2_Residual_Connection_1,1000.0
layer_2_Layer_Norm_After,1000.0
layer_2_Intermediate_Forward,1000.0
layer_2_Output,1000.0
layer_2_add_mid_position_embedding,1000.0
layer_3_Layer_Norm_Before,1000.0
layer_3_Query,1000.0
layer_3_Key,1000.0
layer_3_Value,999.9999999998863
layer_3_mul,1000.0
layer_3_div,1000.0
layer_3_softmax,1000.0
layer_3_dropout,1000.0
layer_3_context,1000.0
layer_3_Self_Attention_Output,1000.0
layer_3_Residual_Connection_1,1000.0
layer_3_Layer_Norm_After,1000.0
layer_3_Intermediate_Forward,1000.0
layer_3_Output,1000.0
layer_3_add_mid_position_embedding,1000.0
layer_4_Layer_Norm_Before,1000.0
layer_4_Query,1000.0
layer_4_Key,1000.0
layer_4_Value,999.999999996362
layer_4_mul,1000.0
layer_4_div,1000.0
layer_4_softmax,1000.0
layer_4_dropout,1000.0
layer_4_context,1000.0
layer_4_Self_Attention_Output,1000.0
layer_4_Residual_Connection_1,1000.0
layer_4_Layer_Norm_After,1000.0
layer_4_Intermediate_Forward,1000.0
layer_4_Output,1000.0
layer_4_add_mid_position_embedding,1000.0
