layer_name,time,cpu_mem,cuda_mem,size,macs
input,0.0,0.0,0.0,9.76,0
embeddings,0.05834150314331055,0,48.14,9.9638671875,0
Interpolation,0.34969091796875,0,218,109.6025390625,0
layer_0,0.47187628173828125,0,1782,9.9638671875,0
layer_1,0.4725706481933594,0,1120,9.9638671875,0
layer_2,0.4775181884765625,0,1130,9.9638671875,0
layer_3,0.4731708984375,0,1140,9.9638671875,0
layer_4,0.47170819091796875,0,1140,9.9638671875,0
layer_5,0.4724434814453125,0,1130,9.9638671875,0
layer_6,0.4722081298828125,0,1190,9.9638671875,0
layer_7,0.47194976806640625,0,1130,9.9638671875,0
layer_8,0.47232794189453125,0,1180,9.9638671875,0
layer_9,0.4726251525878906,0,1110,9.9638671875,0
layer_10,0.4732554931640625,0,1170,9.9638671875,0
layer_11,0.4710020446777344,0,1110,9.9638671875,0
Layer_Norm,0.0013406720161437988,0,0,9.9638671875,0
Class_Labels_Classifier,0.0020343680381774902,0,0,0.03509521484375,0
Box_Predictor,0.00190665602684021,0,0,0.00152587890625,0
output,0,0,0,0,0
