layername,device
input,0
Embedding,0
layer_0_mid_position_embedding,2
layer_1_mid_position_embedding,3
layer_2_mid_position_embedding,2
layer_3_mid_position_embedding,3
layer_4_mid_position_embedding,0
layer_5_mid_position_embedding,2
layer_6_mid_position_embedding,3
layer_7_mid_position_embedding,0
layer_8_mid_position_embedding,1
layer_9_mid_position_embedding,1
layer_10_mid_position_embedding,0
layer_0_Layer_Norm_Before,0
layer_0_Query,0
layer_0_Key,0
layer_0_Value,1
layer_0_mul,0
layer_0_div,0
layer_0_softmax,0
layer_0_dropout,0
layer_0_context,0
layer_0_Self_Attention_Output,0
layer_0_Residual_Connection_1,0
layer_0_Layer_Norm_After,0
layer_0_Intermediate_Forward,0
layer_0_Output,0
layer_0_add_mid_position_embedding,0
layer_1_Layer_Norm_Before,0
layer_1_Query,0
layer_1_Key,0
layer_1_Value,0
layer_1_mul,0
layer_1_div,0
layer_1_softmax,0
layer_1_dropout,0
layer_1_context,0
layer_1_Self_Attention_Output,0
layer_1_Residual_Connection_1,0
layer_1_Layer_Norm_After,0
layer_1_Intermediate_Forward,0
layer_1_Output,0
layer_1_add_mid_position_embedding,0
layer_2_Layer_Norm_Before,0
layer_2_Query,0
layer_2_Key,0
layer_2_Value,3
layer_2_mul,0
layer_2_div,0
layer_2_softmax,0
layer_2_dropout,0
layer_2_context,0
layer_2_Self_Attention_Output,0
layer_2_Residual_Connection_1,0
layer_2_Layer_Norm_After,0
layer_2_Intermediate_Forward,0
layer_2_Output,0
layer_2_add_mid_position_embedding,0
layer_3_Layer_Norm_Before,0
layer_3_Query,1
layer_3_Key,2
layer_3_Value,0
layer_3_mul,1
layer_3_div,1
layer_3_softmax,1
layer_3_dropout,1
layer_3_context,1
layer_3_Self_Attention_Output,1
layer_3_Residual_Connection_1,1
layer_3_Layer_Norm_After,1
layer_3_Intermediate_Forward,1
layer_3_Output,1
layer_3_add_mid_position_embedding,1
layer_4_Layer_Norm_Before,1
layer_4_Query,1
layer_4_Key,1
layer_4_Value,3
layer_4_mul,1
layer_4_div,1
layer_4_softmax,1
layer_4_dropout,1
layer_4_context,1
layer_4_Self_Attention_Output,1
layer_4_Residual_Connection_1,1
layer_4_Layer_Norm_After,1
layer_4_Intermediate_Forward,1
layer_4_Output,1
layer_4_add_mid_position_embedding,1
layer_5_Layer_Norm_Before,1
layer_5_Query,1
layer_5_Key,1
layer_5_Value,0
layer_5_mul,1
layer_5_div,1
layer_5_softmax,1
layer_5_dropout,1
layer_5_context,1
layer_5_Self_Attention_Output,1
layer_5_Residual_Connection_1,1
layer_5_Layer_Norm_After,1
layer_5_Intermediate_Forward,1
layer_5_Output,1
layer_5_add_mid_position_embedding,1
layer_6_Layer_Norm_Before,1
layer_6_Query,1
layer_6_Key,1
layer_6_Value,1
layer_6_mul,2
layer_6_div,2
layer_6_softmax,2
layer_6_dropout,2
layer_6_context,2
layer_6_Self_Attention_Output,2
layer_6_Residual_Connection_1,2
layer_6_Layer_Norm_After,2
layer_6_Intermediate_Forward,2
layer_6_Output,2
layer_6_add_mid_position_embedding,2
layer_7_Layer_Norm_Before,2
layer_7_Query,2
layer_7_Key,2
layer_7_Value,3
layer_7_mul,2
layer_7_div,2
layer_7_softmax,2
layer_7_dropout,2
layer_7_context,2
layer_7_Self_Attention_Output,2
layer_7_Residual_Connection_1,2
layer_7_Layer_Norm_After,2
layer_7_Intermediate_Forward,2
layer_7_Output,2
layer_7_add_mid_position_embedding,2
layer_8_Layer_Norm_Before,2
layer_8_Query,2
layer_8_Key,2
layer_8_Value,0
layer_8_mul,2
layer_8_div,2
layer_8_softmax,2
layer_8_dropout,2
layer_8_context,2
layer_8_Self_Attention_Output,2
layer_8_Residual_Connection_1,2
layer_8_Layer_Norm_After,2
layer_8_Intermediate_Forward,2
layer_8_Output,2
layer_8_add_mid_position_embedding,2
layer_9_Layer_Norm_Before,2
layer_9_Query,2
layer_9_Key,2
layer_9_Value,2
layer_9_mul,3
layer_9_div,3
layer_9_softmax,3
layer_9_dropout,3
layer_9_context,3
layer_9_Self_Attention_Output,3
layer_9_Residual_Connection_1,3
layer_9_Layer_Norm_After,3
layer_9_Intermediate_Forward,3
layer_9_Output,3
layer_9_add_mid_position_embedding,3
layer_10_Layer_Norm_Before,3
layer_10_Query,3
layer_10_Key,3
layer_10_Value,1
layer_10_mul,3
layer_10_div,3
layer_10_softmax,3
layer_10_dropout,3
layer_10_context,3
layer_10_Self_Attention_Output,3
layer_10_Residual_Connection_1,3
layer_10_Layer_Norm_After,3
layer_10_Intermediate_Forward,3
layer_10_Output,3
layer_10_add_mid_position_embedding,3
layer_11_Layer_Norm_Before,3
layer_11_Query,3
layer_11_Key,3
layer_11_Value,0
layer_11_mul,3
layer_11_div,3
layer_11_softmax,3
layer_11_dropout,3
layer_11_context,3
layer_11_Self_Attention_Output,3
layer_11_Residual_Connection_1,3
layer_11_Layer_Norm_After,3
layer_11_Intermediate_Forward,3
layer_11_Output,3
Layer_Norm,3
Class_Labels_Classifier,3
Box_Predictor,3
output,3
