layername,device
input,0
Embedding,0
layer_0_mid_position_embedding,9
layer_1_mid_position_embedding,9
layer_2_mid_position_embedding,8
layer_3_mid_position_embedding,11
layer_4_mid_position_embedding,4
layer_5_mid_position_embedding,7
layer_6_mid_position_embedding,5
layer_7_mid_position_embedding,11
layer_8_mid_position_embedding,6
layer_9_mid_position_embedding,3
layer_10_mid_position_embedding,2
layer_0_Layer_Norm_Before,0
layer_0_Query,0
layer_0_Key,0
layer_0_Value,1
layer_0_mul,0
layer_0_div,0
layer_0_softmax,0
layer_0_dropout,0
layer_0_context,0
layer_0_Self_Attention_Output,0
layer_0_Residual_Connection_1,0
layer_0_Layer_Norm_After,0
layer_0_Intermediate_Forward,0
layer_0_Output,0
layer_0_add_mid_position_embedding,0
layer_1_Layer_Norm_Before,0
layer_1_Query,0
layer_1_Key,10
layer_1_Value,0
layer_1_mul,10
layer_1_div,10
layer_1_softmax,10
layer_1_dropout,10
layer_1_context,10
layer_1_Self_Attention_Output,10
layer_1_Residual_Connection_1,10
layer_1_Layer_Norm_After,10
layer_1_Intermediate_Forward,10
layer_1_Output,10
layer_1_add_mid_position_embedding,10
layer_2_Layer_Norm_Before,10
layer_2_Query,10
layer_2_Key,8
layer_2_Value,10
layer_2_mul,8
layer_2_div,8
layer_2_softmax,8
layer_2_dropout,8
layer_2_context,8
layer_2_Self_Attention_Output,8
layer_2_Residual_Connection_1,8
layer_2_Layer_Norm_After,8
layer_2_Intermediate_Forward,8
layer_2_Output,8
layer_2_add_mid_position_embedding,8
layer_3_Layer_Norm_Before,8
layer_3_Query,8
layer_3_Key,8
layer_3_Value,6
layer_3_mul,7
layer_3_div,7
layer_3_softmax,7
layer_3_dropout,7
layer_3_context,7
layer_3_Self_Attention_Output,7
layer_3_Residual_Connection_1,7
layer_3_Layer_Norm_After,7
layer_3_Intermediate_Forward,7
layer_3_Output,7
layer_3_add_mid_position_embedding,7
layer_4_Layer_Norm_Before,7
layer_4_Query,7
layer_4_Key,5
layer_4_Value,7
layer_4_mul,5
layer_4_div,5
layer_4_softmax,5
layer_4_dropout,5
layer_4_context,5
layer_4_Self_Attention_Output,5
layer_4_Residual_Connection_1,5
layer_4_Layer_Norm_After,5
layer_4_Intermediate_Forward,5
layer_4_Output,5
layer_4_add_mid_position_embedding,5
layer_5_Layer_Norm_Before,5
layer_5_Query,5
layer_5_Key,5
layer_5_Value,3
layer_5_mul,4
layer_5_div,4
layer_5_softmax,4
layer_5_dropout,4
layer_5_context,4
layer_5_Self_Attention_Output,4
layer_5_Residual_Connection_1,4
layer_5_Layer_Norm_After,4
layer_5_Intermediate_Forward,4
layer_5_Output,4
layer_5_add_mid_position_embedding,4
layer_6_Layer_Norm_Before,4
layer_6_Query,4
layer_6_Key,2
layer_6_Value,4
layer_6_mul,2
layer_6_div,2
layer_6_softmax,2
layer_6_dropout,2
layer_6_context,2
layer_6_Self_Attention_Output,2
layer_6_Residual_Connection_1,2
layer_6_Layer_Norm_After,2
layer_6_Intermediate_Forward,2
layer_6_Output,2
layer_6_add_mid_position_embedding,2
layer_7_Layer_Norm_Before,2
layer_7_Query,2
layer_7_Key,2
layer_7_Value,9
layer_7_mul,11
layer_7_div,11
layer_7_softmax,11
layer_7_dropout,11
layer_7_context,11
layer_7_Self_Attention_Output,11
layer_7_Residual_Connection_1,11
layer_7_Layer_Norm_After,11
layer_7_Intermediate_Forward,11
layer_7_Output,11
layer_7_add_mid_position_embedding,11
layer_8_Layer_Norm_Before,11
layer_8_Query,1
layer_8_Key,11
layer_8_Value,11
layer_8_mul,1
layer_8_div,1
layer_8_softmax,1
layer_8_dropout,1
layer_8_context,1
layer_8_Self_Attention_Output,1
layer_8_Residual_Connection_1,1
layer_8_Layer_Norm_After,1
layer_8_Intermediate_Forward,1
layer_8_Output,1
layer_8_add_mid_position_embedding,1
layer_9_Layer_Norm_Before,1
layer_9_Query,1
layer_9_Key,0
layer_9_Value,1
layer_9_mul,6
layer_9_div,6
layer_9_softmax,6
layer_9_dropout,6
layer_9_context,6
layer_9_Self_Attention_Output,6
layer_9_Residual_Connection_1,6
layer_9_Layer_Norm_After,6
layer_9_Intermediate_Forward,6
layer_9_Output,6
layer_9_add_mid_position_embedding,6
layer_10_Layer_Norm_Before,6
layer_10_Query,6
layer_10_Key,10
layer_10_Value,6
layer_10_mul,3
layer_10_div,3
layer_10_softmax,3
layer_10_dropout,3
layer_10_context,3
layer_10_Self_Attention_Output,3
layer_10_Residual_Connection_1,3
layer_10_Layer_Norm_After,3
layer_10_Intermediate_Forward,3
layer_10_Output,3
layer_10_add_mid_position_embedding,3
layer_11_Layer_Norm_Before,3
layer_11_Query,8
layer_11_Key,3
layer_11_Value,3
layer_11_mul,9
layer_11_div,9
layer_11_softmax,9
layer_11_dropout,9
layer_11_context,9
layer_11_Self_Attention_Output,9
layer_11_Residual_Connection_1,9
layer_11_Layer_Norm_After,9
layer_11_Intermediate_Forward,9
layer_11_Output,9
Layer_Norm,9
Class_Labels_Classifier,9
Box_Predictor,9
output,9
