layer_name,time,cpu_mem,cuda_mem,size,macs
input,0.0,0.0,0.0,9.76,0
Embedding, 0.058344959259033206,0,63.2894140625,9.9638671875,0
layer_0_Layer_Norm_Before, 0.0012706559896469116,0,9.9697265625,9.9638671875,0
layer_0_Query, 0.017476512908935548,0, 32.2529296875,9.9638671875,0
layer_0_Key, 0.017231327056884765,0,22.2529296875,9.9638671875,0
layer_0_Value, 0.017222047805786133,0,2.2529296875,9.9638671875,0
layer_0_mul, 0.08854972839355468,0,498,529.4861297607422,0
layer_0_div, 0.030567359924316407,0,520,529.4861297607422,0
layer_0_softmax, 0.07293901062011719,0,0,529.4861297607422,0
layer_0_dropout, 0.0002622080147266388,0,0,529.4861297607422,0
layer_0_context, 0.0718917465209961,0,20,9.9638671875,0
layer_0_Self_Attention_Output, 0.01754640007019043,0,2.2529296875,9.9638671875,0
layer_0_Residual_Connection_1, 0.0009762240052223206,0,0,9.9638671875,0
layer_0_Layer_Norm_After, 0.0013572800159454346,0,20.005859375,9.9638671875,0
layer_0_Intermediate_Forward, 0.07111459350585937,0,79.01171875,39.85546875,0
layer_0_Output, 0.06566358184814453,0,9.0029296875,9.9638671875,0
layer_0_mid_position_embedding, 0.029330495834350587,0,1.1455078125,9.9638671875,0
layer_0_add_mid_position_embedding, 0.0009008640050888061,0,0,9.9638671875,0
layer_1_Layer_Norm_Before, 0.0012863039970397948,0,9.9697265625,9.9638671875,0
layer_1_Query, 0.01743791961669922,0, 2.2529296875,9.9638671875,0
layer_1_Key, 0.017281696319580077,0,2.2529296875,9.9638671875,0
layer_1_Value, 0.01744358444213867,0,2.2529296875,9.9638671875,0
layer_1_mul, 0.08866915130615234,0,520,529.4861297607422,0
layer_1_div, 0.03062563133239746,0,520,529.4861297607422,0
layer_1_softmax, 0.07360617828369141,0,0,529.4861297607422,0
layer_1_dropout, 0.00018806399405002595,0,0,529.4861297607422,0
layer_1_context, 0.07154134368896484,0,0,9.9638671875,0
layer_1_Self_Attention_Output, 0.017456703186035157,0,2.2529296875,9.9638671875,0
layer_1_Residual_Connection_1, 0.0009709759950637817,0,0,9.9638671875,0
layer_1_Layer_Norm_After, 0.0013173439502716065,0,20.005859375,9.9638671875,0
layer_1_Intermediate_Forward, 0.0710699234008789,0,79.01171875,39.85546875,0
layer_1_Output, 0.06635481262207031,0,9.0029296875,9.9638671875,0
layer_1_mid_position_embedding, 0.029273216247558593,0,1.1455078125,9.9638671875,0
layer_1_add_mid_position_embedding, 0.000957472026348114,0,0,9.9638671875,0
layer_2_Layer_Norm_Before, 0.0012850879430770874,0,9.9697265625,9.9638671875,0
layer_2_Query, 0.01744278335571289,0, 2.2529296875,9.9638671875,0
layer_2_Key, 0.017165727615356445,0,2.2529296875,9.9638671875,0
layer_2_Value, 0.017384864807128905,0,2.2529296875,9.9638671875,0
layer_2_mul, 0.08871810913085937,0,520,529.4861297607422,0
layer_2_div, 0.030614688873291017,0,520,529.4861297607422,0
layer_2_softmax, 0.07845696258544922,0,0,529.4861297607422,0
layer_2_dropout, 0.00024140800535678864,0,0,529.4861297607422,0
layer_2_context, 0.07154812622070313,0,0,9.9638671875,0
layer_2_Self_Attention_Output, 0.017769983291625976,0,2.2529296875,9.9638671875,0
layer_2_Residual_Connection_1, 0.001115231990814209,0,0,9.9638671875,0
layer_2_Layer_Norm_After, 0.0013799359798431397,0,20.005859375,9.9638671875,0
layer_2_Intermediate_Forward, 0.07122796630859375,0,79.01171875,39.85546875,0
layer_2_Output, 0.06648556518554688,0,9.0029296875,9.9638671875,0
layer_2_mid_position_embedding, 0.02934979248046875,0,1.1455078125,9.9638671875,0
layer_2_add_mid_position_embedding, 0.0008980799913406372,0,0,9.9638671875,0
layer_3_Layer_Norm_Before, 0.0013761279582977296,0,9.9697265625,9.9638671875,0
layer_3_Query, 0.017460927963256836,0, 2.2529296875,9.9638671875,0
layer_3_Key, 0.017372352600097656,0,2.2529296875,9.9638671875,0
layer_3_Value, 0.017370464324951172,0,2.2529296875,9.9638671875,0
layer_3_mul, 0.08864224243164062,0,520,529.4861297607422,0
layer_3_div, 0.030690624237060548,0,520,529.4861297607422,0
layer_3_softmax, 0.07326300811767578,0,0,529.4861297607422,0
