layername,priority
input,0
d1_conv1,1000.0
d1_conv2,1000.0
d1_conv3,998.6979166666666
d1_conv4,1000.0
d1_conv5,1000.0
d1_conv6,1000.0
d1_conv7,1000.0
d1_conv8,1000.0
d2_conv1,1000.0
d2_conv2,997.3958333333333
d2_conv3,1000.0
d2_resblock,1000.0
d2_conv4,1000.0
d2_conv5,1000.0
d3_conv1,1000.0
d3_conv2,994.7916666666666
d3_conv3,1000.0
d3_resblock,1000.0
d3_conv4,1000.0
d3_conv5,1000.0
d4_conv1,1000.0
d4_conv2,989.5833333333333
d4_conv3,1000.0
d4_resblock,1000.0
d4_conv4,1000.0
d4_conv5,1000.0
d5_conv1,1000.0
d5_conv2,979.1666666666666
d5_conv3,1000.0
d5_resblock,1000.0
d5_conv4,1000.0
d5_conv5,1000.0
nk_conv1,1000.0
nk_conv2,1000.0
nk_conv3,1000.0
nk_maxpl1,916.6666666666666
nk_maxpl2,958.3333333333333
nk_maxpl3,1000.0
nk_conv4,1000.0
nk_conv5,1000.0
nk_conv6,1000.0
nk_conv7,833.3333333333333
nk_upspl1,833.3333333333333
nk_conv8,791.6666666666666
nk_conv9,833.3333333333333
nk_conv10,833.3333333333333
nk_conv11,833.3333333333333
nk_conv12,833.3333333333333
nk_conv13,833.3333333333333
nk_conv14,750.0
nk_upspl2,750.0
nk_conv15,708.3333333333333
nk_conv16,750.0
nk_conv17,750.0
nk_conv18,750.0
nk_conv19,750.0
nk_conv20,750.0
hd_conv1,333.3333333333333
hd_conv3,750.0
hd_conv2,333.3333333333333
hd_conv4,833.3333333333333
hd_conv5,833.3333333333333
hd_conv6,833.3333333333333
hd_conv7,833.3333333333333
hd_conv8,833.3333333333333
hd_conv9,666.6666666666666
hd_conv11,833.3333333333333
hd_conv10,666.6666666666666
hd_conv12,1000.0
hd_conv13,1000.0
hd_conv14,1000.0
hd_conv15,1000.0
hd_conv16,1000.0
hd_conv17,1000.0
hd_conv18,1000.0
decode1,333.3333333333333
decode2,666.6666666666666
decode3,1000.0
non_max_suppression,1000.0
wrapping_up,1000.0
output,1000
