layername,priority
input,0
d1_conv1,1000.0
d1_conv2,1000.0
d1_conv3,1000.0
d1_conv4,999.3489583333333
d1_conv5,999.3489583333333
d1_conv6,999.3489583333333
d1_conv7,999.3489583333333
d1_conv8,1000.0
d2_conv1,1000.0
d2_conv2,998.6979166666666
d2_conv3,1000.0
d2_resblock,1000.0
d2_conv4,1000.0
d2_conv5,1000.0
d3_conv1,1000.0
d3_conv2,997.3958333333333
d3_conv3,1000.0
d3_resblock,1000.0
d3_conv4,1000.0
d3_conv5,1000.0
d4_conv1,1000.0
d4_conv2,994.7916666666666
d4_conv3,1000.0
d4_resblock,1000.0
d4_conv4,1000.0
d4_conv5,1000.0
d5_conv1,1000.0
d5_conv2,989.5833333333333
d5_conv3,1000.0
d5_resblock,1000.0
d5_conv4,1000.0
d5_conv5,1000.0
nk_conv1,1000.0
nk_conv2,1000.0
nk_conv3,1000.0
nk_maxpl1,1000.0
nk_maxpl2,958.3333333333333
nk_maxpl3,979.1666666666666
nk_conv4,1000.0
nk_conv5,1000.0
nk_conv6,1000.0
nk_conv7,1000.0
nk_upspl1,1000.0
nk_conv8,916.6666666666666
nk_conv9,1000.0
nk_conv10,1000.0
nk_conv11,1000.0
nk_conv12,1000.0
nk_conv13,1000.0
nk_conv14,1000.0
nk_upspl2,1000.0
nk_conv15,833.3333333333333
nk_conv16,1000.0
nk_conv17,1000.0
nk_conv18,1000.0
nk_conv19,1000.0
nk_conv20,1000.0
hd_conv1,1000.0
hd_conv3,666.6666666666666
hd_conv2,1000.0
hd_conv4,666.6666666666666
hd_conv5,666.6666666666666
hd_conv6,666.6666666666666
hd_conv7,666.6666666666666
hd_conv8,666.6666666666666
hd_conv9,666.6666666666666
hd_conv11,333.3333333333333
hd_conv10,666.6666666666666
hd_conv12,333.3333333333333
hd_conv13,333.3333333333333
hd_conv14,333.3333333333333
hd_conv15,333.3333333333333
hd_conv16,333.3333333333333
hd_conv17,333.3333333333333
hd_conv18,333.3333333333333
decode1,1000.0
decode2,666.6666666666666
decode3,333.3333333333333
non_max_suppression,1000.0
wrapping_up,1000.0
output,1000
