layer_name,time,cpu_mem,cuda_mem,size,MACs
input,0,0,0,0,0
d1_conv1,0.042482615,0,554.5,4.2304,1030
d1_conv2,0.038306475,0,276.53,45.1248,1720
d1_conv3,0.022280693,0,276.53,22.5624,390.37
d1_conv4,0.022500992,0,276.53,22.5624,390.37
d1_conv5,0.013645887,0,135.89,22.5624,195.18
d1_conv6,0.030942678,0,270.92,11.2812,1720
d1_conv7,0.022475958,0,271.25,22.5624,390.37
d1_conv8,0.029048681,0,271.25,22.5624,768.9
d2_conv1,0.02658844,0,139.89,22.5624,4480
d2_conv2,0.008195639,0,72.21,11.2812,192.23
d2_conv3,0.008052349,0,67.81,5.6408,192.23
d2_resblock,0.034353495,0,285.72,5.6408,1900
d2_conv4,0.006578684,0,68.69,5.6408,97.59
d2_conv5,0.014093399,0,135.49,5.6408,384.45
d3_conv1,0.023243427,0,67.72,11.2812,1710
d3_conv2,0.005455256,0,36.99,5.6408,190.75
d3_conv3,0.005223036,0,36.99,2.8204,190.75
d3_resblock,0.094313145,0,585.49,2.8204,7590
d3_conv4,0.004193068,0,35.95,2.8204,96.11
d3_conv5,0.009362698,0,67.72,2.8204,381.49
d4_conv1,0.036658287,0,33.85,5.6408,1700
d4_conv2,0.0055511,0,17.29,2.8204,190.01
d4_conv3,0.004854679,0,17.29,1.41,190.01
d4_resblock,0.086637497,0,337.47,1.41,7580
d4_conv4,0.004410267,0,17.17,1.41,95.37
d4_conv5,0.007616282,0,34.63,1.41,380.01
d5_conv1,0.045846224,0,17.05,2.8204,1700
d5_conv2,0.008806467,0,8.6825,1.41,189.64
d5_conv3,0.005829334,0,8.6825,0.7052,189.64
d5_resblock,0.062320709,0,174.63,0.7052,3790
d5_conv4,0.003588915,0,8.6825,0.7052,95
d5_conv5,0.007656813,0,17.32,0.7052,379.28
nk_conv1,0.028311968,0,6.5165,1.41,189.82
nk_conv2,0.001344681,0,62.88,0.7052,1700
nk_conv3,0.00106287,0,6.5165,1.41,189.82
nk_maxpl1,0.02866292,0,4.24,0.7052,0.184
nk_maxpl2,0.000315189,0,4.24,0.7052,0.184
nk_maxpl3,0.000266314,0,4.28,0.7052,0.184
nk_conv4,0.028049231,0,6.5165,0.7052,379.09
nk_conv5,0.001741648,0,63.77,0.7052,1700
nk_conv6,0.001088858,0,6.5165,1.41,189.82
nk_conv7,0.001074791,0,3.2595,0.7052,47.59
nk_upspl1,0.000527859,0,1.41,0.3524,0
nk_conv8,0.001698256,0,12.7,1.41,190.38
nk_conv9,0.001518965,0,13.74,1.41,190.38
nk_conv10,0.001212358,0,37.89,1.41,1710
nk_conv11,0.001351833,0,12.7,2.8204,190.38
nk_conv12,0.001298666,0,37.89,1.41,1710
nk_conv13,0.001440048,0,12.7,2.8204,190.38
nk_conv14,0.001401186,0,6.5105,1.41,47.87
nk_upspl2,0.000157356,0,2.82,0.7052,0
nk_conv15,0.001647472,0,25.41,2.8204,191.49
nk_conv16,0.001472235,0,25.41,2.8204,191.49
nk_conv17,0.001247406,0,54.93,2.8204,1710
nk_conv18,0.001412153,0,25.41,5.6408,191.49
nk_conv19,0.001509905,0,56.99,2.8204,1710
nk_conv20,0.001291037,0,25.41,5.6408,191.49
hd_conv1,0.001717329,0,53.89,2.8204,1710
hd_conv2,0.036589861,0,22.514,5.6408,378.53
hd_conv3,0.001482248,0,12.7,5.6184,426.96
hd_conv4,0.001586437,0,12.7,1.41,190.38
hd_conv5,0.001941681,0,37.89,1.41,1710
hd_conv6,0.001278162,0,12.7,2.8204,190.38
hd_conv7,0.001801729,0,37.89,1.41,1710
hd_conv8,0.00133419,0,12.7,2.8204,190.38
hd_conv9,0.001606703,0,37.89,1.41,1710
hd_conv10,0.001271963,0,5.6485,2.8204,188.9
hd_conv11,0.001690626,0,6.5165,1.4048,426.41
hd_conv12,0.001277685,0,6.5165,0.7052,189.82
hd_conv13,0.001996517,0,62.73,0.7052,1710
hd_conv14,0.001123905,0,6.5165,1.41,189.82
hd_conv15,0.001329899,0,62.73,0.7052,1710
hd_conv16,0.001064539,0,6.5165,1.41,189.82
hd_conv17,0.00129652,0,62.73,0.7052,1710
hd_conv18,0.000716925,0,1.4425,1.41,94.36
decode1,0,0,0,0,0
decode2,0,0,0,0,0
decode3,0,0,0,0,0
non_max_suppression,0,0,0,0,0
wrapping_up,0,0,0,0,0
output,0,0,0,0,0
