src,dst
input,stem
stem,dark2
dark2,dark3
dark3,dark4
dark3,C3_p3
dark4,dark5
dark4,C3_p4
dark5,lateral_conv0
lateral_conv0,upsample_P5
lateral_conv0,C3_n4
upsample_P5,C3_p4
C3_p4,reduce_conv1
reduce_conv1,upsample_P4
reduce_conv1,C3_n3
upsample_P4,C3_p3
C3_p3,bu_conv2
C3_p3,stems_0
bu_conv2,C3_n3
C3_n3,bu_conv1
C3_n3,stems_1
bu_conv1,C3_n4
stems_0,cls_convs_0
stems_0,reg_convs_0
cls_convs_0,cls_preds_0
reg_convs_0,reg_preds_0
reg_convs_0,obj_preds_0
reg_preds_0,partial_out_0
obj_preds_0,partial_out_0
cls_preds_0,partial_out_0
partial_out_0,output_decode
stems_1,cls_convs_1
stems_1,reg_convs_1
cls_convs_1,cls_preds_1
reg_convs_1,reg_preds_1
reg_convs_1,obj_preds_1
reg_preds_1,partial_out_1
obj_preds_1,partial_out_1
cls_preds_1,partial_out_1
partial_out_1,output_decode
C3_n4,stems_2
stems_2,cls_convs_2
stems_2,reg_convs_2
cls_convs_2,cls_preds_2
reg_convs_2,reg_preds_2
reg_convs_2,obj_preds_2
reg_preds_2,partial_out_2
obj_preds_2,partial_out_2
cls_preds_2,partial_out_2
partial_out_2,output_decode
output_decode,output
