layer_name,time,cpu_mem,cuda_mem,size,MACs
input,0.0,0,0,4.6875,0
stem,0.006130695343017578,0,0,4.6875,0
dark2,0.02832198143005371,0,0,12.5,0
dark3,0.039092063903808594,0,0,6.25,0
dark4,0.04039764404296875,0,0,3.125,0
dark5,0.029984951019287113,0,0,1.5625,0
lateral_conv0,0.0016248226165771484,0,0,0.7812,0
upsample_P5,0.0005707740783691406,0,0,0.3906,0
C3_p4,0.015073537826538088,0,0,1.5625,0
reduce_conv1,0.001750469207763672,0,0,1.5625,0
upsample_P4,0.0006663799285888673,0,0,0.7812,0
C3_p3,0.015210628509521484,0,0,3.125,0
bu_conv2,0.00444340705871582,0,0,3.125,0
C3_n3,0.013869524002075195,0,0,0.7812,0
bu_conv1,0.00443720817565918,0,0,1.5625,0
C3_n4,0.01790595054626465,0,0,0.3906,0
stems_0,0.0025327205657958984,0,0,0.7812,0
cls_convs_0,0.01250314712524414,0,0,3.125,0
cls_preds_0,0.001249074935913086,0,0,3.125,0
reg_convs_0,0.012469768524169922,0,0,0.4883,0
reg_preds_0,0.0008435249328613281,0,0,3.125,0
obj_preds_0,0.0007474422454833983,0,0,0.0977,0
partial_out_0,0.0005013942718505858,0,0,0.0244,0
stems_1,0.0018281936645507812,0,0,0.6104,0
cls_convs_1,0.00419926643371582,0,0,0.7812,0
cls_preds_1,0.0007903575897216798,0,0,0.7812,0
reg_convs_1,0.004206180572509766,0,0,0.1221,0
reg_preds_1,0.0006902217864990233,0,0,0.7812,0
obj_preds_1,0.0006401538848876952,0,0,0.0244,0
partial_out_1,0.0004341602325439453,0,0,0.0061,0
stems_2,0.00127410888671875,0,0,0.1526,0
cls_convs_2,0.002256631851196289,0,0,0.1953,0
cls_preds_2,0.0006520748138427733,0,0,0.1953,0
reg_convs_2,0.0022461414337158203,0,0,0.0305,0
reg_preds_2,0.0007357597351074219,0,0,0.1953,0
obj_preds_2,0.0006887912750244142,0,0,0.0061,0
partial_out_2,0.0004570484161376953,0,0,0.0015,0
output_decode,0.0,0,0,0.0,0
output,0.0,0,0,0.0,0
