layer_name,time,cpu_mem,cuda_mem,size,MACs
input,0,0,0,4.6875,0
stem,0.0327,0,398.93,31.25,0
dark2,0.1757,0,1295.48,15.625,0
dark3,0.2521,0,1424.3,7.8125,0
dark4,0.2525,0,867.64,3.9062,0
dark5,0.2419,0,396.76,1.9531,0
lateral_conv0,0.0075,0,11.005,0.9766,0
upsample_P5,0.0013,0,4.28,3.9062,0
C3_p4,0.0852,0,361.87,3.9062,0
reduce_conv1,0.0058,0,27.41,1.9531,0
upsample_P4,0.0021,0,7.81,7.8125,0
C3_p3,0.0914,0,568.81,7.8125,0
bu_conv2,0.0307,0,30.06,1.9531,0
C3_n3,0.0771,0,342.67,3.9062,0
bu_conv1,0.037,0,11,0.9766,0
C3_n4,0.1172,0,305.88,1.9531,0
stems_0,0.0112,0,86.34,7.8125,0
cls_convs_0,0.0743,0,195.15,7.8125,0
cls_preds_0,0.0039,0,9.459,1.9531,0
reg_convs_0,0.0744,0,195.15,7.8125,0
reg_preds_0,0.0019,0,0.444,0.0977,0
obj_preds_0,0.0018,0,0.1015,0.0244,0
partial_out_0,0.0008,0,7.26,2.0752,0
stems_1,0.0059,0,27.4315,1.9531,0
cls_convs_1,0.0229,0,72.32,1.9531,0
cls_preds_1,0.0017,0,2.1105,0.4883,0
reg_convs_1,0.0233,0,67.23,1.9531,0
reg_preds_1,0.001,0,0.1015,0.0244,0
obj_preds_1,0.0009,0,0.0275,0.0061,0
partial_out_1,0.0005,0,1.5945,0.5188,0
stems_2,0.004,0,5.505,0.4883,0
cls_convs_2,0.0101,0,30.51,0.4883,0
cls_preds_2,0.0009,0,0.5015,0.1221,0
reg_convs_2,0.0101,0,30.52,0.4883,0
reg_preds_2,0.0008,0,0.0275,0.0061,0
obj_preds_2,0.0007,0,0.0095,0.0015,0
partial_out_2,0.0004,0,0.399,0.1297,0
output_decode,0,0,0,0,0
output,0,0,0,0,0
