layer_name,time,cpu_mem,cuda_mem,size,MACs
input,0,0,0,4.6875,0
stem,0.0917537,0,0,31.25,0
dark2,0.1784866,0,0,15.625,0
dark3,0.255424,0,0,7.8125,0
dark4,0.2567599,0,0,3.9062,0
dark5,0.2447562,0,0,1.9531,0
lateral_conv0,0.0109088,0,0,0.9766,0
upsample_P5,0.0022681,0,0,3.9062,0
C3_p4,0.0866389,0,0,3.9062,0
reduce_conv1,0.0077186,0,0,1.9531,0
upsample_P4,0.002543,0,0,7.8125,0
C3_p3,0.0917506,0,0,7.8125,0
bu_conv2,0.0307252,0,0,1.9531,0
C3_n3,0.0792511,0,0,3.9062,0
bu_conv1,0.0376225,0,0,0.9766,0
C3_n4,0.1185324,0,0,1.9531,0
stems_0,0.014708,0,0,7.8125,0
cls_convs_0,0.0774193,0,0,7.8125,0
cls_preds_0,0.007534,0,0,1.9531,0
reg_convs_0,0.0774295,0,0,7.8125,0
reg_preds_0,0.0034809,0,0,0.0977,0
obj_preds_0,0.0028203,0,0,0.0244,0
partial_out_0,0.0009203,0,0,2.0752,0
stems_1,0.006984,0,0,1.9531,0
cls_convs_1,0.0238862,0,0,1.9531,0
cls_preds_1,0.00156,0,0,0.4883,0
reg_convs_1,0.0233305,0,0,1.9531,0
reg_preds_1,0.000844,0,0,0.0244,0
obj_preds_1,0.0008006,0,0,0.0061,0
partial_out_1,0.0004072,0,0,0.5188,0
stems_2,0.0040095,0,0,0.4883,0
cls_convs_2,0.0099332,0,0,0.4883,0
cls_preds_2,0.0007036,0,0,0.1221,0
reg_convs_2,0.0098114,0,0,0.4883,0
reg_preds_2,0.0006547,0,0,0.0061,0
obj_preds_2,0.000659,0,0,0.0015,0
partial_out_2,0.0002642,0,0,0.1297,0
output_decode,0,0,0,0,0
output,0,0,0,0,0
